Run Number:,reruns,...3,Date:,20210419,...6,Initials:,RN,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39
ENTER SCAN DATA HERE,Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wavelength,0,200,400,600,800,1000,2000,U81,U138,U148,U188,U187,U174,U173,U172,U169,U168,U167,U166,U165,U164,U162,U161,U159,U153,U152,U151,U146,U142,U104,U103,U102,U100,U6,U5,U4,U3,U2
219,7.6318175087637663E-4,0.000765758394810964,0.000722442557984537,0.000667844877521043,0.000596677604602407,0.000495955478352662,-0.000256572656313334,5.3396065718207264E-4,6.4629004583877797E-4,6.1856516686317753E-4,6.1575615885040014E-4,7.0774356979054487E-4,6.0888785245691301E-4,6.9984107893782815E-4,6.9089880210512766E-4,-6.3731585000462165E-5,6.1626662943172622E-4,6.9588346057770922E-4,5.7956262078311116E-4,6.7020487548639235E-4,4.9144400205922145E-4,6.2979458087070173E-4,5.3112410448216685E-4,6.9523454656015421E-4,6.7367547450301185E-4,6.947816282846242E-4,7.0565181678261535E-4,2.7601585232199521E-4,7.0561511895642776E-4,1.768498399591506E-4,5.375999777305282E-4,6.6491290095122002E-4,6.6589045234730082E-4,3.2848166786055705E-4,5.1862291042119313E-4,6.6653745444365808E-4,6.2066728524822617E-4,6.9578247982402669E-4
220,8.7495931698264653E-4,0.000900680843585189,0.00087697932930475,0.000837706178937449,0.000791212390768258,0.000716365020301354,0.0000863338712892431,7.3518185592715696E-4,8.2254751657229175E-4,7.9724519610023525E-4,7.9437420356439498E-4,8.6135379153073899E-4,7.8860671483738792E-4,8.5527099814645263E-4,8.5078583841548261E-4,2.3661467479860199E-4,7.9366657497131898E-4,8.5123716539988598E-4,7.6267724172102147E-4,8.3537622904805015E-4,6.9470054300845019E-4,8.0793806304546578E-4,7.3533256330274299E-4,8.5011255394971258E-4,8.398497251815365E-4,8.4765489503361297E-4,8.5282325518613866E-4,5.2471370699333497E-4,8.574337532874024E-4,4.4246708058928719E-4,7.3397120968911322E-4,8.3532428321410335E-4,8.3331156243517113E-4,5.6862888709956205E-4,7.113022941736824E-4,8.2856954599518778E-4,7.9640226613668375E-4,8.4192168787072114E-4
221,9.8673688308891297E-4,0.00103560329235941,0.00103151610062497,0.00100756748035386,0.000985747176934101,0.000936774562250046,0.00042924039889182,9.3640305467223434E-4,9.9880498730581246E-4,9.7592522533729992E-4,9.7299224827838982E-4,1.0149640132709262E-3,9.6832557721786977E-4,1.0107009173550771E-3,1.0106728747258306E-3,5.3696093459766614E-4,9.7106652051091175E-4,1.0065908702220627E-3,9.4579186265893178E-4,1.0005475826097079E-3,8.9795708395768586E-4,9.8608154522022984E-4,9.3954102212331914E-4,1.0049905613392779E-3,1.0060239758600611E-3,1.0005281617826087E-3,9.9999469358966198E-4,7.7341156166468167E-4,1.0092523876183701E-3,7.0808432121942377E-4,9.3034244164769825E-4,1.0057356654769867E-3,1.0007326725230414E-3,8.0877610633856706E-4,9.0398167792617168E-4,9.9060163754671748E-4,9.7213724702514132E-4,9.8806089591741558E-4
222,1.0985144491951794E-3,0.00117052574113364,0.00118605287194518,0.00117742878177027,0.00118028196309995,0.00115718410419875,0.000772146926494396,1.1376242534173187E-3,1.1750624580393262E-3,1.1546052545743646E-3,1.1516102929923777E-3,1.1685742350111133E-3,1.1480444395983447E-3,1.1661308365637016E-3,1.1705599110361856E-3,8.3730719439671641E-4,1.1484664660505045E-3,1.1619445750442325E-3,1.128906483596849E-3,1.1657189361713657E-3,1.1012136249069146E-3,1.1642250273949939E-3,1.1437494809438953E-3,1.1598685687288363E-3,1.1721982265385789E-3,1.1534014285315974E-3,1.1471661319931853E-3,1.0221094163360214E-3,1.1610710219493448E-3,9.7370156184956036E-4,1.1267136736062902E-3,1.17614704773987E-3,1.1681537826109187E-3,1.048923325577579E-3,1.0966610616786679E-3,1.1526337290982402E-3,1.1478722279135989E-3,1.134200103964117E-3
223,1.2102920153014458E-3,0.00130544818990786,0.0013405896432654,0.00134729008318669,0.0013748167492658,0.00137759364614744,0.00111505345409697,1.338845452162403E-3,1.351319928772847E-3,1.3332852838114223E-3,1.3302283377063726E-3,1.3221844567513075E-3,1.3277633019788196E-3,1.3215607557723261E-3,1.3304469473465336E-3,1.1376534541957806E-3,1.3258664115901042E-3,1.3172982798664093E-3,1.3120211045347593E-3,1.3308902897330166E-3,1.3044701658561503E-3,1.342368509569751E-3,1.3479579397644714E-3,1.3147465761184016E-3,1.3383724772171035E-3,1.3062746952805862E-3,1.2943375703967086E-3,1.2708072710073612E-3,1.3128896562803125E-3,1.2393188024796969E-3,1.3230849055648752E-3,1.3465584300027533E-3,1.335574892698789E-3,1.289070544816584E-3,1.2893404454311572E-3,1.3146658206497699E-3,1.3236072088020565E-3,1.2803393120108114E-3
224,1.3220695814077157E-3,0.00144037063868209,0.00149512641458562,0.00151715138460309,0.00156935153543165,0.00159800318809614,0.00145795998169955,1.5400666509074804E-3,1.5275773995063607E-3,1.511965313048487E-3,1.5088463824203674E-3,1.4757946784914946E-3,1.5074821643592945E-3,1.4769906749809436E-3,1.4903339836568885E-3,1.4379997139948308E-3,1.503266357129697E-3,1.4726519846885791E-3,1.4951357254726697E-3,1.4960616432946744E-3,1.507726706805379E-3,1.5205119917445151E-3,1.5521663985850476E-3,1.4696245835079669E-3,1.5045467278956282E-3,1.4591479620295819E-3,1.4415090088002319E-3,1.5195051256787009E-3,1.4647082906112871E-3,1.5049360431098335E-3,1.5194561375234603E-3,1.5169698122656367E-3,1.5029960027866593E-3,1.529217764055589E-3,1.4820198291836534E-3,1.4766979122012996E-3,1.499342189690514E-3,1.4264785200575059E-3
225,1.4338471475139822E-3,0.00157529308745631,0.00164966318590584,0.00168701268601951,0.0017638863215975,0.00181841273004483,0.00180086650930213,1.7412878496525647E-3,1.7038348702398814E-3,1.6906453422855516E-3,1.6874644271343622E-3,1.6294049002316818E-3,1.6872010267397694E-3,1.6324205941895681E-3,1.6502210199672435E-3,1.738345973793895E-3,1.6806663026692897E-3,1.6280056895107559E-3,1.67825034641058E-3,1.6612329968563322E-3,1.7109832477546147E-3,1.6986554739192791E-3,1.7563748574056237E-3,1.6245025908975252E-3,1.6707209785741528E-3,1.6120212287785707E-3,1.5886804472037552E-3,1.7682029803500476E-3,1.6165269249422548E-3,1.7705532837399701E-3,1.7158273694820522E-3,1.68738119452852E-3,1.6704171128745365E-3,1.769364983294601E-3,1.6746992129361427E-3,1.6387300037528224E-3,1.6750771705789716E-3,1.5726177281042003E-3
226,1.5456247136202486E-3,0.00171021553623054,0.00180419995722605,0.00185687398743592,0.00195842110776335,0.00203882227199352,0.0021437730369047,1.942509048397649E-3,1.8800923409733952E-3,1.8693253715226094E-3,1.8660824718483501E-3,1.7830151219718759E-3,1.8669198891202513E-3,1.7878505133981926E-3,1.8101080562775915E-3,2.0386922335929453E-3,1.8580662482088825E-3,1.7833593943329326E-3,1.8613649673484972E-3,1.82640435041799E-3,1.9142397887038434E-3,1.8767989560940432E-3,1.9605833162262068E-3,1.7793805982870906E-3,1.8368952292526775E-3,1.7648944955275594E-3,1.7358518856072785E-3,2.0169008350213874E-3,1.7683455592732295E-3,2.0361705243701067E-3,1.9121986014406372E-3,1.8577925767914033E-3,1.8378382229624068E-3,2.009512202533606E-3,1.8673785966886389E-3,1.8007620953043521E-3,1.8508121514674292E-3,1.7187569361508948E-3
227,1.657402279726515E-3,0.00184513798500476,0.00195873672854627,0.00202673528885233,0.00215295589392919,0.00225923181394222,0.00248667956450729,2.1437302471427264E-3,2.0563498117069159E-3,2.048005400759674E-3,2.044700516562345E-3,1.9366253437120631E-3,2.0466387515007262E-3,1.943280432606817E-3,1.9699950925879464E-3,2.3390384933920094E-3,2.0354661937484753E-3,1.9387130991551024E-3,2.0444795882864075E-3,1.9915757039796478E-3,2.1174963296530791E-3,2.0549424382688072E-3,2.1647917750467829E-3,1.9342586056766559E-3,2.0030694799312021E-3,1.9177677622765482E-3,1.8830233240108019E-3,2.2655986896927272E-3,1.9201641936041972E-3,2.3017877650002502E-3,2.1085698333992223E-3,2.0282039590542866E-3,2.0052593330502771E-3,2.249659421772611E-3,2.0600579804411281E-3,1.9627941868558818E-3,2.0265471323558867E-3,1.8648961441975892E-3
228,1.7691798458327815E-3,0.00198006043377899,0.00211327349986648,0.00219659659026874,0.00234749068009504,0.00247964135589091,0.00282958609210987,2.3449514458878107E-3,2.2326072824404297E-3,2.2266854299967387E-3,2.2233185612763398E-3,2.0902355654522503E-3,2.2263576138812011E-3,2.0987103518154415E-3,2.1298821288982944E-3,2.6393847531910597E-3,2.212866139288068E-3,2.0940668039772792E-3,2.2275942092243178E-3,2.1567470575413056E-3,2.3207528706023078E-3,2.2330859204435713E-3,2.3690002338673591E-3,2.0891366130662142E-3,2.1692437306097268E-3,2.0706410290255439E-3,2.0301947624143252E-3,2.5142965443640669E-3,2.0719828279351718E-3,2.5674050056303868E-3,2.3049410653578142E-3,2.19861534131717E-3,2.1726804431381475E-3,2.4898066410116229E-3,2.2527373641936244E-3,2.1248262784074046E-3,2.2022821132443443E-3,2.0110353522442836E-3
229,1.8809574119390514E-3,0.00211498288255321,0.0022678102711867,0.00236645789168515,0.00254202546626089,0.00270005089783961,0.00317249261971245,2.546172644632895E-3,2.4088647531739504E-3,2.4053654592337964E-3,2.4019366059903346E-3,2.2438457871924375E-3,2.406076476261676E-3,2.254140271024066E-3,2.2897691652086494E-3,2.9397310129901238E-3,2.3902660848276608E-3,2.249420508799449E-3,2.4107088301622351E-3,2.3219184111029634E-3,2.5240094115515435E-3,2.4112294026183353E-3,2.5732086926879352E-3,2.2440146204557795E-3,2.3354179812882514E-3,2.2235142957745327E-3,2.1773662008178554E-3,2.7629943990354136E-3,2.2238014622661395E-3,2.8330222462605234E-3,2.5013122973163993E-3,2.3690267235800533E-3,2.3401015532260247E-3,2.7299538602506279E-3,2.4454167479461136E-3,2.2868583699589343E-3,2.3780170941327949E-3,2.1571745602909781E-3
230,1.9927349780453178E-3,0.00224990533132743,0.00242234704250691,0.00253631919310156,0.00273656025242674,0.0029204604397883,0.00351539914731502,2.7473938433779724E-3,2.5851222239074642E-3,2.5840454884708611E-3,2.5805546507043226E-3,2.3974560089326316E-3,2.5857953386421509E-3,2.4095701902326905E-3,2.4496562015189974E-3,3.2400772727891741E-3,2.5676660303672535E-3,2.4047742136216257E-3,2.5938234511001454E-3,2.4870897646646212E-3,2.7272659525007723E-3,2.5893728847930994E-3,2.7774171515085114E-3,2.3988926278453379E-3,2.501592231966776E-3,2.3763875625235215E-3,2.3245376392213787E-3,3.0116922537067534E-3,2.3756200965971072E-3,3.09863948689066E-3,2.6976835292749843E-3,2.5394381058429297E-3,2.507522663313895E-3,2.9701010794896329E-3,2.6380961316986098E-3,2.448890461510464E-3,2.5537520750212525E-3,2.3033137683376795E-3
