"sample","abs","df","runID","TP","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","comments","sampleID"
"U179",0.132,1,"TP_run3_20201109.xlsx",18.468965492152,35,"BH","DeepHole","8/25/2020","9:50","PML",0,5,"","BH_DeepHole_20200825_0950_PML_5_Limno.Sample.20160505"
"U18",0.228,1,"TP_run2_20201102.xlsx",35.2926242202141,3,"WL","DeepHole","6/9/2020","10:20","Hypo",8,8,"","WL_DeepHole_20200609_1020_Hypo_8_Limno.Sample.20160505"
"U180",0.322,1,"TP_run3_20201109.xlsx",50.6353784112675,35,"BH","DeepHole","8/25/2020","9:50","Hypo",10,10,"","BH_DeepHole_20200825_0950_Hypo_10_Limno.Sample.20160505"
"U181",0.085,1,"TP_run3_20201109.xlsx",10.5120107174235,35,"HH","DeepHole","8/25/2020","11:10","PML",0,4,"","HH_DeepHole_20200825_1110_PML_4_Limno.Sample.20160505"
"U182",0.245,1,"TP_run3_20201109.xlsx",37.5995163335207,35,"HH","DeepHole","8/25/2020","11:10","Hypo",5.5,5.5,"","HH_DeepHole_20200825_1110_Hypo_5.5_Limno.Sample.20160505"
"U183",0.102,1,"TP_run1_20201028.xlsx",16.2802292658991,35,"MI","DeepHole","8/26/2020","10:25","PML",0,0.5,"","MI_DeepHole_20200826_1025_PML_0.5_Limno.Sample.20160505"
"U184",0.422,1,"TP_run1_20201028.xlsx",70.2071440671116,35,"MI","DeepHole","8/26/2020","10:25","Hypo",9,9,"","MI_DeepHole_20200826_1025_Hypo_9_Limno.Sample.20160505"
"U185",0.106,1,"TP_run1_20201028.xlsx",16.9543157009143,35,"TR","DeepHole","8/26/2020","9:15","PML",0,0.5,"","TR_DeepHole_20200826_0915_PML_0.5_Limno.Sample.20160505"
"U186",0.148,1,"TP_run3_20201109.xlsx",21.1777160537618,35,"TR","DeepHole","8/26/2020","9:15","Hypo",5,5,"","TR_DeepHole_20200826_0915_Hypo_5_Limno.Sample.20160505"
"U187",0.083,1,"TP_run3_20201109.xlsx",10.1734168972223,35,"WL","DeepHole","8/26/2020","11:37","PML",0,1.5,"","WL_DeepHole_20200826_1137_PML_1.5_Limno.Sample.20160505"
