"projectID","sampleID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","runID","chl","replicate","metadataID","comments","flag","updateID"
"3","FE_DeepHole_20200623_1125_PML_1.5_Limno.Sample.20160505","FE","DeepHole",2020-06-23,"2020-06-23 11:25:00","PML",0,1.5,"1",10.7152287795663,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"3","FE_DeepHole_20200623_1125_PML_1.5_Limno.Sample.20160505","FE","DeepHole",2020-06-23,"2020-06-23 11:25:00","PML",0,1.5,"2",10.8828660739874,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"3","FE_DeepHole_20200623_1125_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-06-23,"2020-06-23 11:25:00","Hypo",8,8,"1",1.93029929442575,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"3","FE_DeepHole_20200623_1125_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-06-23,"2020-06-23 11:25:00","Hypo",8,8,"3",1.70956919075078,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"3","FE_DeepHole_20200630_1130_PML_1_Limno.Sample.20160505","FE","DeepHole",2020-06-30,"2020-06-30 11:30:00","PML",0,1,"3",2.5853638417949,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"3","FE_DeepHole_20200630_1130_PML_1_Limno.Sample.20160505","FE","DeepHole",2020-06-30,"2020-06-30 11:30:00","PML",0,1,"2",5.77776595964699,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"3","FE_DeepHole_20200630_1130_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-06-30,"2020-06-30 11:30:00","Hypo",8,8,"1",3.62268687811451,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"3","FE_DeepHole_20200630_1130_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-06-30,"2020-06-30 11:30:00","Hypo",8,8,"2",3.89096444810806,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"3","FE_DeepHole_20200707_1130_PML_0.25_Limno.Sample.20160505","FE","DeepHole",2020-07-07,"2020-07-07 11:30:00","PML",0,0.25,"3",3.79529239193961,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"3","FE_DeepHole_20200707_1130_PML_0.25_Limno.Sample.20160505","FE","DeepHole",2020-07-07,"2020-07-07 11:30:00","PML",0,0.25,"1",4.57123033976995,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"3","FE_DeepHole_20200707_1130_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-07-07,"2020-07-07 11:30:00","Hypo",8,8,"1",2.08334010505062,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"3","FE_DeepHole_20200707_1130_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-07-07,"2020-07-07 11:30:00","Hypo",8,8,"3",1.05252338074064,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"3","FE_DeepHole_20200715_1015_PML_1.5_Limno.Sample.20160505","FE","DeepHole",2020-07-15,"2020-07-15 10:15:00","PML",0,1.5,"3",24.3509054961526,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"3","FE_DeepHole_20200715_1015_PML_1.5_Limno.Sample.20160505","FE","DeepHole",2020-07-15,"2020-07-15 10:15:00","PML",0,1.5,"1",30.6217945592541,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"3","FE_DeepHole_20200715_1015_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-07-15,"2020-07-15 10:15:00","Hypo",8,8,"1",3.9683540238318,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"3","FE_DeepHole_20200715_1015_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-07-15,"2020-07-15 10:15:00","Hypo",8,8,"1",3.76651815323274,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"3","FE_DeepHole_20200722_1145_PML_2_Limno.Sample.20160505","FE","DeepHole",2020-07-22,"2020-07-22 11:45:00","PML",0,2,"1",13.9226623451502,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"3","FE_DeepHole_20200722_1145_PML_2_Limno.Sample.20160505","FE","DeepHole",2020-07-22,"2020-07-22 11:45:00","PML",0,2,"3",8.85385134798139,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
