"projectID","lakeID","sampleID","dateSample","QCcode","flag","comments","metadataID","updateID","parameter","parameterValue"
13,"PA","PA_DeepHole_20191007_1000_Hypo_9_Limno.Sample.20160505",2019-10-07,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.499
13,"PE","PE_DeepHole_20191007_1100_PML_5_Limno.Sample.20160505",2019-10-07,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.91
13,"PE","PE_DeepHole_20191007_1100_Hypo_10_Limno.Sample.20160505",2019-10-07,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.214
15,"ME","ME_DeepHole_20190524_840_Hypo_3.5_Limno.Sample.20160505",2019-05-24,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1
15,"ME","ME_Outlet_20190524_840_Surface_0_Limno.Sample.20160505",2019-05-24,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.945
3,"FE","FE_DeepHole_20190528_1058_PML_1.5_Limno.Sample.20160505",2019-05-28,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.982
3,"FE","FE_DeepHole_20190528_1058_Hypo_8_Limno.Sample.20160505",2019-05-28,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.548
34,"PA","PA_DeepHole_20190515_845_Hypo_6_Limno.Sample.20160505",2019-05-15,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.078
3,"FE","FE_DeepHole_20190716_932_PML_1_Limno.Sample.20160505",2019-07-16,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.751
3,"FE","FE_DeepHole_20190716_932_Hypo_8_Limno.Sample.20160505",2019-07-16,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.887
3,"FE","FE_Inlet1_20190716_932_Surface_0_Limno.Sample.20160505",2019-07-16,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.117
3,"WL","WL_DeepHole_20190716_835_PML_2_Limno.Sample.20160505",2019-07-16,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.4
3,"WL","WL_DeepHole_20190716_835_Hypo_8_Limno.Sample.20160505",2019-07-16,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.852
17,"TU","TU_DeepHole_20190725_840_Hypo_5_Limno.Sample.20160505",2019-07-25,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.961
3,"FE","FE_DeepHole_20190806_937_PML_1.5_Limno.Sample.20160505",2019-08-06,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.524
3,"FE","FE_DeepHole_20190806_937_Hypo_8_Limno.Sample.20160505",2019-08-06,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.727
3,"WL","WL_DeepHole_20190806_834_PML_2_Limno.Sample.20160505",2019-08-06,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.847
3,"WL","WL_DeepHole_20190806_834_Hypo_8_Limno.Sample.20160505",2019-08-06,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.814
34,"PE","PE_DeepHole_20190822_946_PML_2.5_Limno.Sample.20160505",2019-08-22,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.468
34,"PE","PE_DeepHole_20190822_946_Hypo_11_Limno.Sample.20160505",2019-08-22,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.949
15,"CR","CR_DeepHole_20191006_845_PML_7_Limno.Sample.20160505",2019-10-06,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.597
15,"HB","HB_Outlet_20191006_1047_Surface_0_Limno.Sample.20160505",2019-10-06,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",7.852
15,"ME","ME_DeepHole_20191006_1200_PML_4_Limno.Sample.20160505",2019-10-06,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.292
15,"ME","ME_DeepHole_20191006_1200_Hypo_4_Limno.Sample.20160505",2019-10-06,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.279
15,"ME","ME_Outlet_20191006_1200_Surface_0_Limno.Sample.20160505",2019-10-06,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.451
15,"MO","MO_DeepHole_20191006_1233_PML_4_Limno.Sample.20160505",2019-10-06,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.744
15,"MO","MO_DeepHole_20191006_1233_Hypo_6_Limno.Sample.20160505",2019-10-06,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.116
3,"WL","WL_DeepHole_20191006_900_PML_4.5_Limno.Sample.20160505",2019-10-06,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.34
3,"WL","WL_DeepHole_20191006_900_Hypo_8_Limno.Sample.20160505",2019-10-06,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.607
15,"MO","MO_Inlet3_20191006_1233_Surface_0_Limno.Sample.20160505",2019-10-06,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.633
15,"MO","MO_Outlet_20191006_1233_Surface_0_Limno.Sample.20160505",2019-10-06,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.794
13,"PA","PA_DeepHole_20191007_1000_PML_6_Limno.Sample.20160505",2019-10-07,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.528
15,"MO","MO_Inlet2_20191006_1200_Surface_0_Limno.Sample.20160505",2019-10-06,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.331
17,"ME","ME_Outlet_20190703_915_Surface_0_Limno.Sample.20160505",2019-07-03,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.301
3,"FE","FE_Inlet1_20190611_1058_Surface_0_Limno.Sample.20160505",2019-06-11,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.813
3,"WL","WL_DeepHole_20190611_910_PML_1.5_Limno.Sample.20160505",2019-06-11,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.89
3,"WL","WL_DeepHole_20190611_910_Hypo_8_Limno.Sample.20160505",2019-06-11,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.103
34,"PA","PA_DeepHole_20190612_834_PML_2_Limno.Sample.20160505",2019-06-12,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.388
34,"PA","PA_DeepHole_20190612_834_Hypo_7_Limno.Sample.20160505",2019-06-12,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.25
34,"PE","PE_DeepHole_20190612_934_PML_1.5_Limno.Sample.20160505",2019-06-12,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.409
34,"PE","PE_DeepHole_20190612_934_Hypo_9_Limno.Sample.20160505",2019-06-12,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.562
17,"BA","BA_DeepHole_20190613_832_PML_2_Limno.Sample.20160505",2019-06-13,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.575
17,"BA","BA_DeepHole_20190613_832_Hypo_8_Limno.Sample.20160505",2019-06-13,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.385
15,"CR","CR_DeepHole_20190701_955_PML_1.5_Limno.Sample.20160505",2019-07-01,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.515
15,"CR","CR_DeepHole_20190701_955_Hypo_10_Limno.Sample.20160505",2019-07-01,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.478
15,"CR","CR_Outlet_20190701_955_Surface_0_Limno.Sample.20160505",2019-07-01,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",2.484
