"pocID","runID","trayLoc","PON.mg","POC.mg","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","volFiltered","replicate","comments","sampleID","ID","parameter","parameterValue","QCcode","flag","metadataID","updateID"
"P163","RN_20210201_run1b_027","p1b2",0.01665255444139,0.125279285974,15,"MO","DeepHole",2020-08-19,"10:15","PML",0,1.5,120,"1","","MO_DeepHole_20200819_1015_PML_1.5_Limno.Sample.20160505",163,"PON",138.771,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P163","RN_20210201_run1b_027","p1b2",0.01665255444139,0.125279285974,15,"MO","DeepHole",2020-08-19,"10:15","PML",0,1.5,120,"1","","MO_DeepHole_20200819_1015_PML_1.5_Limno.Sample.20160505",163,"POC",1043.994,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P137","RN_20210201_run1b_028","p1b3",0.01547575206068,0.09546903468635,3,"WL","DeepHole",2020-08-04,"8:45","Hypo",8,8,120,"1","","WL_DeepHole_20200804_0845_Hypo_8_Limno.Sample.20160505",137,"PON",128.965,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P137","RN_20210201_run1b_028","p1b3",0.01547575206068,0.09546903468635,3,"WL","DeepHole",2020-08-04,"8:45","Hypo",8,8,120,"1","","WL_DeepHole_20200804_0845_Hypo_8_Limno.Sample.20160505",137,"POC",795.575,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P136","RN_20210201_run1b_029","p1b4",0.005913035086657,0.03371267805096,3,"WL","DeepHole",2020-08-04,"8:45","PML",0,2.5,120,"1","","WL_DeepHole_20200804_0845_PML_2.5_Limno.Sample.20160505",136,"PON",49.275,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P136","RN_20210201_run1b_029","p1b4",0.005913035086657,0.03371267805096,3,"WL","DeepHole",2020-08-04,"8:45","PML",0,2.5,120,"1","","WL_DeepHole_20200804_0845_PML_2.5_Limno.Sample.20160505",136,"POC",280.939,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P135","RN_20210201_run1b_030","p1b5",0.00671151112324,0.06385003039361,3,"FE","Inlet1",2020-08-04,"10:45","Surface",0,0,120,"1","","FE_Inlet1_20200804_1045_Surface_0_Limno.Sample.20160505",135,"PON",55.929,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P135","RN_20210201_run1b_030","p1b5",0.00671151112324,0.06385003039361,3,"FE","Inlet1",2020-08-04,"10:45","Surface",0,0,120,"1","","FE_Inlet1_20200804_1045_Surface_0_Limno.Sample.20160505",135,"POC",532.084,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P134","RN_20210201_run1b_031","p1b6",0.01138322911942,0.06496980743034,3,"FE","DeepHole",2020-08-04,"10:45","Hypo",8,8,120,"1","","FE_DeepHole_20200804_1045_Hypo_8_Limno.Sample.20160505",134,"PON",94.86,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P134","RN_20210201_run1b_031","p1b6",0.01138322911942,0.06496980743034,3,"FE","DeepHole",2020-08-04,"10:45","Hypo",8,8,120,"1","","FE_DeepHole_20200804_1045_Hypo_8_Limno.Sample.20160505",134,"POC",541.415,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
