"pocID","runID","trayLoc","PON.mg","POC.mg","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","volFiltered","replicate","comments","sampleID","POC","PON","ID"
"P187","RN_20210203_run2_016","P1D4",0.006999646077797,0.05690001530389,35,"WL","DeepHole","8/26/2020","11:37","PML",0,1.5,120,"1","","WL_DeepHole_20200826_1137_PML_1.5_Limno.Sample.20160505",474.167,58.33,187
"P188","RN_20210203_run2_015","P1D3",0.02002067060571,0.09890916289767,35,"WL","DeepHole","8/26/2020","11:37","Hypo",8,8,120,"1","","WL_DeepHole_20200826_1137_Hypo_8_Limno.Sample.20160505",824.243,166.839,188
"P189","RN_20210203_run2_014","P1D2",0.02238697243325,0.2396962536705,35,"CYB","DeepHole","8/27/2020","10:15","PML",0,0.5,120,"1","","CYB_DeepHole_20200827_1015_PML_0.5_Limno.Sample.20160505",1997.469,186.558,189
"P190","RN_20210203_run2_013","P1D1",0.02476368885863,0.1936473954868,35,"CYB","DeepHole","8/27/2020","10:15","Hypo",2,2,120,"1","","CYB_DeepHole_20200827_1015_Hypo_2_Limno.Sample.20160505",1613.728,206.364,190
"P21","RN_20210203_run2_023","P1D11",0.01245908346425,0.08651179024229,15,"HB","Outlet","6/10/2020","11:40","Surface",0,0,120,"1","","HB_Outlet_20200610_1140_Surface_0_Limno.Sample.20160505",720.932,103.826,21
"P26","RN_20210203_run2_022","P1D10",0.01346143064761,0.09255052700546,15,"CR","DeepHole","6/11/2020","9:30","Hypo",8,8,120,"1","","CR_DeepHole_20200611_0930_Hypo_8_Limno.Sample.20160505",771.254,112.179,26
"P29","RN_20210203_run2_048","P1F10",0.02725601783984,0.1813437329412,15,"MO","DeepHole","6/12/2020","9:25","PML",0,1.5,120,"1","","MO_DeepHole_20200612_0925_PML_1.5_Limno.Sample.20160505",1511.198,227.133,29
"P30","RN_20210203_run2_047","P1F9",0.01022739294376,0.07715454808863,15,"MO","DeepHole","6/12/2020","9:25","Hypo",4.5,4.5,90,"1","","MO_DeepHole_20200612_0925_Hypo_4.5_Limno.Sample.20160505",857.273,113.638,30
"P34","RN_20210203_run2_046","P1F8",0.02194989595737,0.1507160630255,15,"MO","Inlet1","6/12/2020","9:25","Surface",0,0,120,"1","","MO_Inlet1_20200612_0925_Surface_0_Limno.Sample.20160505",1255.967,182.916,34
"P31","RN_20210203_run2_027","P1E2",0.006194860659547,0.05613750361933,15,"MO","Inlet2","6/12/2020","9:25","Surface",0,0,120,"1","","MO_Inlet2_20200612_0925_Surface_0_Limno.Sample.20160505",467.813,51.624,31
"P32","RN_20210203_run2_026","P1E1",0.01770461132291,0.1874434495336,15,"MO","Inlet3","6/12/2020","9:25","Surface",0,0,120,"1","","MO_Inlet3_20200612_0925_Surface_0_Limno.Sample.20160505",1562.029,147.538,32
"P33","RN_20210203_run2_024","P1D12",0.02421903695091,0.1631212664926,17,"BR","DeepHole","6/15/2020","11:42","PML",0,2,120,"1","","BR_DeepHole_20200615_1142_PML_2_Limno.Sample.20160505",1359.344,201.825,33
"P35","RN_20210203_run2_045","P1F7",0.00701614111761,0.05486934762606,17,"BR","DeepHole","6/15/2020","11:42","Hypo",3.5,3.5,120,"1","","BR_DeepHole_20200615_1142_Hypo_3.5_Limno.Sample.20160505",457.245,58.468,35
"P36","RN_20210203_run2_044","P1F6",0.009394098878893,0.07819506615314,17,"BA","DeepHole","6/15/2020","14:00","PML",0,2.5,120,"1","","BA_DeepHole_20200615_1400_PML_2.5_Limno.Sample.20160505",651.626,78.284,36
"P37","RN_20210203_run2_043","P1F5",0.006381439757846,0.04635398054963,17,"BA","DeepHole","6/15/2020","14:00","Hypo",6.5,6.5,120,"1","","BA_DeepHole_20200615_1400_Hypo_6.5_Limno.Sample.20160505",386.283,53.179,37
"P38","RN_20210203_run2_042","P1F4",0.008899205605304,0.08238949180777,3,"FE","DeepHole","6/16/2020","10:35","PML",0,1.5,120,"1","","FE_DeepHole_20200616_1035_PML_1.5_Limno.Sample.20160505",686.579,74.16,38
