"sample","abs","dilution","runID","TN","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","comments","sampleID","flag"
"U181",0.004814036,1,"TN_run3_202011112.csv",377.600126223625,35,"HH","DeepHole","8/25/2020","11:10","PML",0,4,NA,"HH_DeepHole_20200825_1110_PML_4_Limno.Sample.20160505",NA
"U182",0.005666428,1,"TN_run3_202011112.csv",669.972447317464,35,"HH","DeepHole","8/25/2020","11:10","Hypo",5.5,5.5,NA,"HH_DeepHole_20200825_1110_Hypo_5.5_Limno.Sample.20160505",NA
"U183",0.0049801009408851,1,"TN_run1_20201028.csv",375.418318109839,35,"MI","DeepHole","8/26/2020","10:25","PML",0,0.5,NA,"MI_DeepHole_20200826_1025_PML_0.5_Limno.Sample.20160505",NA
"U184",0.0052081894925754,1,"TN_run1_20201028.csv",457.749212397467,35,"MI","DeepHole","8/26/2020","10:25","Hypo",9,9,NA,"MI_DeepHole_20200826_1025_Hypo_9_Limno.Sample.20160505",NA
"U185",0.00586013367049426,1,"TN_run1_20201028.csv",693.075127687385,35,"TR","DeepHole","8/26/2020","9:15","PML",0,0.5,NA,"TR_DeepHole_20200826_0915_PML_0.5_Limno.Sample.20160505",NA
"U186",0.006128807,1,"TN_run3_202011112.csv",828.56945603534,35,"TR","DeepHole","8/26/2020","9:15","Hypo",5,5,NA,"TR_DeepHole_20200826_0915_Hypo_5_Limno.Sample.20160505",NA
"U187",0.004983222,1,"TN_run3_202011112.csv",435.63129441453,35,"WL","DeepHole","8/26/2020","11:37","PML",0,1.5,NA,"WL_DeepHole_20200826_1137_PML_1.5_Limno.Sample.20160505",NA
"U188",0.005699234,1,"TN_run3_202011112.csv",681.224977099306,35,"WL","DeepHole","8/26/2020","11:37","Hypo",8,8,NA,"WL_DeepHole_20200826_1137_Hypo_8_Limno.Sample.20160505",NA
"U189",0.004945474,1,"TN_run3_202011112.csv",422.683647819243,35,"CYB","DeepHole","8/27/2020","10:15","PML",0,0.5,NA,"CYB_DeepHole_20200827_1015_PML_0.5_Limno.Sample.20160505",NA
"U19",0.0055346275568641,1,"TN_run1_20201028.csv",575.580368600795,15,"HB","DeepHole","6/10/2020","11:40","PML",0,0.5,NA,"HB_DeepHole_20200610_1140_PML_0.5_Limno.Sample.20160505",NA
"U190",0.005528743,1,"TN_run3_202011112.csv",622.746191052969,35,"CYB","DeepHole","8/27/2020","10:15","Hypo",2,2,NA,"CYB_DeepHole_20200827_1015_Hypo_2_Limno.Sample.20160505",NA
"U191",0.005486268,1,"TN_run3_202011112.csv",608.177173114672,35,"TB","DeepHole","8/27/2020","11:15","PML",0,0.5,NA,"TB_DeepHole_20200827_1115_PML_0.5_Limno.Sample.20160505",NA
"U192",0.005844236,1,"TN_run3_202011112.csv",730.960980373913,35,"TB","DeepHole","8/27/2020","11:15","Hypo",3.5,3.5,NA,"TB_DeepHole_20200827_1115_Hypo_3.5_Limno.Sample.20160505",NA
"U193",0.005248808,1,"TN_run3_202011112.csv",526.727873535437,41,"JO","DeepHole","9/1/2020","8:55","PML",0,3,NA,"JO_DeepHole_20200901_0855_PML_3_Limno.Sample.20160505",NA
"U194",0.005245822,1,"TN_run3_202011112.csv",525.703669001859,41,"JO","DeepHole","9/1/2020","8:55","Hypo",4.5,4.5,NA,"JO_DeepHole_20200901_0855_Hypo_4.5_Limno.Sample.20160505",NA
"U2",0.004367022,1,"TN_run2_202011102.csv",350.769019969921,3,"WL","DeepHole","6/4/2020","9:15","PML",0,1,NA,"WL_DeepHole_20200604_0915_PML_1_Limno.Sample.20160505",NA
"U20",0.00589935534053648,1,"TN_run1_20201028.csv",707.232590418855,15,"HB","DeepHole","6/10/2020","11:40","Hypo",4,4,NA,"HB_DeepHole_20200610_1140_Hypo_4_Limno.Sample.20160505",NA
"U21",0.004813633,1,"TN_run2_202011102.csv",507.930681577217,15,"HB","Outlet","6/10/2020","11:40","Surface",0,0,NA,"HB_Outlet_20200610_1140_Surface_0_Limno.Sample.20160505",NA
"U22",0.00497987973912929,1,"TN_run1_20201028.csv",375.338473074923,17,"ME","DeepHole","6/10/2020","9:36","PML",0,1,NA,"ME_DeepHole_20200610_0936_PML_1_Limno.Sample.20160505",NA
"U23",0.00488578497397556,1,"TN_run1_20201028.csv",341.374005742035,17,"ME","DeepHole","6/10/2020","9:36","Hypo",3.5,3.5,NA,"ME_DeepHole_20200610_0936_Hypo_3.5_Limno.Sample.20160505",NA
"U24",0.004392379,1,"TN_run2_202011102.csv",359.69210572772,17,"ME","Outlet","6/10/2020","9:36","Surface",0,0,NA,"ME_Outlet_20200610_0936_Surface_0_Limno.Sample.20160505",NA
"U25",0.00496581377918653,1,"TN_run1_20201028.csv",370.261221049254,15,"CR","DeepHole","6/11/2020","9:30","PML",0,2.5,NA,"CR_DeepHole_20200611_0930_PML_2.5_Limno.Sample.20160505",NA
"U26",0.00484993463295231,1,"TN_run1_20201028.csv",328.433458682188,15,"CR","DeepHole","6/11/2020","9:30","Hypo",8,8,NA,"CR_DeepHole_20200611_0930_Hypo_8_Limno.Sample.20160505",NA
"U27",0.00488260084707909,1,"TN_run1_20201028.csv",340.224662590136,15,"CR","Outlet","6/11/2020","9:30","Surface",0,0,NA,"CR_Outlet_20200611_0930_Surface_0_Limno.Sample.20160505",NA
"U28",0.00525571087711983,1,"TN_run1_20201028.csv",474.902541919422,15,"MO","DeepHole","6/12/2020","9:25","PML",0,1.5,NA,"MO_DeepHole_20200612_0925_PML_1.5_Limno.Sample.20160505",NA
"U29",0.006056196,1,"TN_run2_202011102.csv",945.186516591906,15,"MO","DeepHole","6/12/2020","9:25","Hypo",4.5,4.5,NA,"MO_DeepHole_20200612_0925_Hypo_4.5_Limno.Sample.20160505",NA
"U3",0.004989685,1,"TN_run2_202011102.csv",569.883085009482,3,"WL","DeepHole","6/4/2020","9:15","Hypo",8,8,NA,"WL_DeepHole_20200604_0915_Hypo_8_Limno.Sample.20160505",NA
"U30",0.004659974,1,"TN_run2_202011102.csv",453.858337275541,15,"MO","Inlet1","6/12/2020","9:25","Surface",0,0,NA,"MO_Inlet1_20200612_0925_Surface_0_Limno.Sample.20160505",NA
"U31",0.005516708,1,"TN_run2_202011102.csv",755.341594507147,15,"MO","Inlet2","6/12/2020","9:25","Surface",0,0,NA,"MO_Inlet2_20200612_0925_Surface_0_Limno.Sample.20160505",NA
"U32",0.006743255,1,"TN_run2_202011102.csv",1186.96142599236,15,"MO","Inlet3","6/12/2020","9:25","Surface",0,0,NA,"MO_Inlet3_20200612_0925_Surface_0_Limno.Sample.20160505",NA
