"sample","abs","df","runID","POPinBottle","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","volFiltered","replicate","comments","sampleID","POP"
"P218",0.508,1,"Run6_POP_2019.xlsx",84.5352963730449,17,"MO","Inlet2","7/31/2019","9:38","Surface",0,0,60,"1","","MO_Inlet2_20190731_938_Surface_0_Limno.Sample.20160505",42.2676481865224
"P219",0.201,1,"Run6_POP_2019.xlsx",34.1805387261559,17,"MO","Inlet3","7/31/2019","9:38","Surface",0,0,140,"1","","MO_Inlet3_20190731_938_Surface_0_Limno.Sample.20160505",7.32440115560484
"P22",0.186,1,"Run2_POP_2019.xlsx",27.8650535651067,3,"FE","DeepHole","5/21/2019","10:08","Hypo",8,8,140,"1","","FE_DeepHole_20190521_1008_Hypo_8_Limno.Sample.20160505",5.97108290680858
"P220",0.458,1,"reruns_POP_2019_20210505.xlsx",78.5927305894543,33,"BR","DeepHole","7/31/2019","12:05","PML",0,2.5,140,"1","","BR_DeepHole_20190731_1205_PML_2.5_Limno.Sample.20160505",16.8412994120259
"P221",1.006,1,"Run6_POP_2019.xlsx",166.218258288845,33,"BR","DeepHole","7/31/2019","12:05","Hypo",4,4,140,"1","","BR_DeepHole_20190731_1205_Hypo_4_Limno.Sample.20160505",35.6181982047525
"P222",0.272,1,"Run6_POP_2019.xlsx",45.8261015695732,33,"TF","DeepHole","7/31/2019","10:45","PML",0,4,140,"1","","TF_DeepHole_20190731_1045_PML_4_Limno.Sample.20160505",9.81987890776569
"P223",0.385,1,"Run6_POP_2019.xlsx",64.3605889119135,33,"TF","DeepHole","7/31/2019","10:45","Hypo",6.5,6.5,140,"1","","TF_DeepHole_20190731_1045_Hypo_6.5_Limno.Sample.20160505",13.7915547668386
"P224",0.216,1,"Run4_POP_2019.xlsx",37.2435376818737,34,"PA","DeepHole","8/1/2019","8:30","PML",0,2.5,140,"1","","PA_DeepHole_20190801_830_PML_2.5_Limno.Sample.20160505",7.98075807468722
"P225",0.577,1,"Run4_POP_2019.xlsx",99.1474903050901,34,"PA","DeepHole","8/1/2019","8:30","Hypo",8,8,140,"1","","PA_DeepHole_20190801_830_Hypo_8_Limno.Sample.20160505",21.2458907796622
"P226",0.563,1,"Run6_POP_2019.xlsx",93.5565070263963,34,"PE","DeepHole","8/1/2019","9:48","PML",0,2,140,"1","","PE_DeepHole_20190801_948_PML_2_Limno.Sample.20160505",20.0478229342278
"P226",0.236,1,"reruns_POP_2019_20210505.xlsx",39.0892824383299,34,"PE","DeepHole","8/1/2019","9:48","PML",0,2,140,"1","","PE_DeepHole_20190801_948_PML_2_Limno.Sample.20160505",8.37627480821355
"P227",0.514,1,"Run2_POP_2019.xlsx",72.5796249039284,34,"PE","DeepHole","8/1/2019","9:48","Hypo",9,9,140,"1","","PE_DeepHole_20190801_948_Hypo_9_Limno.Sample.20160505",15.5527767651275
"P228",0.198,1,"Run4_POP_2019.xlsx",34.1569140053698,15,"HB","DeepHole","8/2/2019","8:25","PML",0,0.5,140,"1","","HB_DeepHole_20190802_825_PML_0.5_Limno.Sample.20160505",7.31933871543639
"P229",0.322,1,"Run2_POP_2019.xlsx",46.4052416812035,15,"HB","DeepHole","8/2/2019","8:25","Hypo",3.5,3.5,140,"1","","HB_DeepHole_20190802_825_Hypo_3.5_Limno.Sample.20160505",9.94398036025789
"P23",0.108,1,"Run4_POP_2019.xlsx",18.7237956228505,3,"FE","Inlet1","5/21/2019","10:08","Surface",0,0,140,"1","","FE_Inlet1_20190521_1008_Surface_0_Limno.Sample.20160505",4.01224191918224
"P230",0.796,1,"Run3_POP_2019.xlsx",135.706986793684,15,"HB","Outlet","8/3/2019","13:45","Surface",0,0,100,"1","","HB_Outlet_20190803_1345_Surface_0_Limno.Sample.20160505",40.7120960381053
"P230",0.362,1,"reruns_POP_2019_20210505.xlsx",61.5101584159951,15,"HB","Outlet","8/3/2019","13:45","Surface",0,0,100,"1","","HB_Outlet_20190803_1345_Surface_0_Limno.Sample.20160505",18.4530475247985
"P231",0.108,1,"Run2_POP_2019.xlsx",17.2317103808747,3,"FE","DeepHole","8/6/2019","9:37","PML",0,1.5,140,"1","","FE_DeepHole_20190806_937_PML_1.5_Limno.Sample.20160505",3.6925093673303
"P232",0.688,1,"Run1_POP_2019.xlsx",106.16408223946,3,"FE","DeepHole","8/6/2019","9:37","Hypo",8,8,140,"1","","FE_DeepHole_20190806_937_Hypo_8_Limno.Sample.20160505",22.74944619417
"P233",0.168,1,"Run3_POP_2019.xlsx",26.1726811298881,3,"WL","DeepHole","8/6/2019","8:34","PML",0,2,140,"1","","WL_DeepHole_20190806_834_PML_2_Limno.Sample.20160505",5.60843167069031
"P234",0.578,1,"Run2_POP_2019.xlsx",81.3044193115033,3,"WL","DeepHole","8/6/2019","8:34","Hypo",8,8,140,"1","","WL_DeepHole_20190806_834_Hypo_8_Limno.Sample.20160505",17.4223755667507
"P235",0.196,1,"Run3_POP_2019.xlsx",31.0563762868727,34,"BY","DeepHole","8/7/2019","12:00","PML",0,3.5,140,"1","","BY_DeepHole_20190807_1200_PML_3.5_Limno.Sample.20160505",6.65493777575843
"P236",0.872,1,"Run2_POP_2019.xlsx",121.383943621301,34,"BY","DeepHole","8/7/2019","12:00","Hypo",7.5,7.5,140,"1","","BY_DeepHole_20190807_1200_Hypo_7.5_Limno.Sample.20160505",26.0108450617073
