"sample","abs","conc","df","runID","SRP","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","comments","sampleID","ID","flag"
"F160",0.014,NA,1,"SRP_run3_20201113.xlsx",2.73759099087156,15,"HB","DeepHole","8/18/2020","9:50","PML",0,0.5,NA,"HB_DeepHole_20200818_0950_PML_0.5_Limno.Sample.20160505",160,NA
"F161",0.108,NA,1,"SRP_run3_20201113.xlsx",17.7953297070731,15,"HB","DeepHole","8/18/2020","9:50","Hypo",4,4,NA,"HB_DeepHole_20200818_0950_Hypo_4_Limno.Sample.20160505",161,NA
"F162",0.019,NA,1,"SRP_run3_20201113.xlsx",3.53853453960568,15,"HB","Outlet","8/18/2020","9:50","Surface",0,0,NA,"HB_Outlet_20200818_0950_Surface_0_Limno.Sample.20160505",162,NA
"F163",0.016,NA,1,"SRP_run3_20201113.xlsx",3.05796841036521,15,"MO","DeepHole","8/19/2020","10:15","PML",0,1.5,NA,"MO_DeepHole_20200819_1015_PML_1.5_Limno.Sample.20160505",163,NA
"F164",0.279,NA,1,"SRP_run3_20201113.xlsx",45.1875990737801,15,"MO","DeepHole","8/19/2020","10:15","Hypo",4.5,4.5,NA,"MO_DeepHole_20200819_1015_Hypo_4.5_Limno.Sample.20160505",164,NA
"F165",0.023,NA,1,"SRP_run3_20201113.xlsx",4.17928937859298,15,"MO","Inlet1","8/19/2020","10:15","Surface",0,0,NA,"MO_Inlet1_20200819_1015_Surface_0_Limno.Sample.20160505",165,NA
"F166",0.025,NA,1,"SRP_run3_20201113.xlsx",4.49966679808663,15,"MO","Inlet2","8/19/2020","10:15","Surface",0,0,NA,"MO_Inlet2_20200819_1015_Surface_0_Limno.Sample.20160505",166,NA
"F167",NA,NA,1,NA,NA,3,"FE","DeepHole","8/20/2020","11:32","PML",0,1.5,"failed QA/QC range check; reruns quite different; rerun reported","FE_DeepHole_20200820_1132_PML_1.5_Limno.Sample.20160505",167,"1"
"F168",0.03,NA,1,"SRP_run3_20201113.xlsx",5.30061034682076,3,"FE","DeepHole","8/20/2020","11:32","Hypo",8,8,NA,"FE_DeepHole_20200820_1132_Hypo_8_Limno.Sample.20160505",168,NA
"F169",0.027,NA,1,"SRP_run3_20201113.xlsx",4.82004421758028,3,"FE","Inlet1","8/20/2020","11:32","Surface",0,0,NA,"FE_Inlet1_20200820_1132_Surface_0_Limno.Sample.20160505",169,NA
"F17",0.008,NA,1,"SRP_run1_20201110.xlsx",1.27080622475173,3,"WL","DeepHole","6/9/2020","10:20","PML",0,1,NA,"WL_DeepHole_20200609_1020_PML_1_Limno.Sample.20160505",17,NA
"F170",NA,NA,1,NA,NA,17,"ME","DeepHole","8/20/2020","10:54","PML",0,2,"failed QA/QC range check; reruns quite different; rerun reported","ME_DeepHole_20200820_1054_PML_2_Limno.Sample.20160505",170,"1"
"F171",0.152,NA,1,"SRP_run3_20201113.xlsx",24.8436329359334,17,"ME","DeepHole","8/20/2020","10:54","Hypo",3.5,3.5,NA,"ME_DeepHole_20200820_1054_Hypo_3.5_Limno.Sample.20160505",171,NA
"F172",0.025,NA,1,"SRP_run3_20201113.xlsx",4.49966679808663,17,"ME","Outlet","8/20/2020","10:54","Surface",0,0,NA,"ME_Outlet_20200820_1054_Surface_0_Limno.Sample.20160505",172,NA
"F173",0.019,NA,1,"SRP_run3_20201113.xlsx",3.53853453960568,3,"WL","DeepHole","8/20/2020","9:10","PML",0,2,NA,"WL_DeepHole_20200820_0910_PML_2_Limno.Sample.20160505",173,NA
"F174",0.262,NA,1,"SRP_run3_20201113.xlsx",42.4643910080841,3,"WL","DeepHole","8/20/2020","9:10","Hypo",8,8,NA,"WL_DeepHole_20200820_0910_Hypo_8_Limno.Sample.20160505",174,NA
"F175",0.092,NA,1,"SRP_run3_20201113.xlsx",15.2323103511239,35,"NH","DeepHole","8/24/2020","10:50","PML",0,2,NA,"NH_DeepHole_20200824_1050_PML_2_Limno.Sample.20160505",175,NA
"F176",0.26,NA,1,"SRP_run3_20201113.xlsx",42.1440135885904,35,"NH","DeepHole","8/24/2020","10:50","Hypo",3,3,NA,"NH_DeepHole_20200824_1050_Hypo_3_Limno.Sample.20160505",176,NA
"F177",0.013,NA,1,"SRP_run3_20201113.xlsx",2.57740228112474,35,"SE","DeepHole","8/24/2020","11:55","PML",0,5,NA,"SE_DeepHole_20200824_1155_PML_5_Limno.Sample.20160505",177,NA
"F178",0.026,NA,1,"SRP_run3_20201113.xlsx",4.65985550783346,35,"SE","DeepHole","8/24/2020","11:55","Hypo",5.5,5.5,NA,"SE_DeepHole_20200824_1155_Hypo_5.5_Limno.Sample.20160505",178,NA
"F179",0.021,NA,1,"SRP_run3_20201113.xlsx",3.85891195909933,35,"BH","DeepHole","8/25/2020","9:50","PML",0,5,NA,"BH_DeepHole_20200825_0950_PML_5_Limno.Sample.20160505",179,NA
"F18",0.158,NA,1,"SRP_run1_20201110.xlsx",25.3203028440242,3,"WL","DeepHole","6/9/2020","10:20","Hypo",8,8,NA,"WL_DeepHole_20200609_1020_Hypo_8_Limno.Sample.20160505",18,NA
"F180",0.015,NA,1,"SRP_run3_20201113.xlsx",2.89777970061839,35,"BH","DeepHole","8/25/2020","9:50","Hypo",10,10,NA,"BH_DeepHole_20200825_0950_Hypo_10_Limno.Sample.20160505",180,NA
"F181",1.199,NA,1,"SRP_run3_20201113.xlsx",192.561212040859,35,"HH","DeepHole","8/25/2020","11:10","PML",0,4,NA,"HH_DeepHole_20200825_1110_PML_4_Limno.Sample.20160505",181,NA
"F182",0.023,NA,1,"SRP_run3_20201113.xlsx",4.17928937859298,35,"HH","DeepHole","8/25/2020","11:10","Hypo",5.5,5.5,NA,"HH_DeepHole_20200825_1110_Hypo_5.5_Limno.Sample.20160505",182,NA
"F183",0.025,NA,1,"SRP_run3_20201113.xlsx",4.49966679808663,35,"MI","DeepHole","8/26/2020","10:25","PML",0,0.5,NA,"MI_DeepHole_20200826_1025_PML_0.5_Limno.Sample.20160505",183,NA
"F184",0.019,NA,1,"SRP_run3_20201113.xlsx",3.53853453960568,35,"MI","DeepHole","8/26/2020","10:25","Hypo",9,9,NA,"MI_DeepHole_20200826_1025_Hypo_9_Limno.Sample.20160505",184,NA
"F185",0.014,NA,1,"SRP_run3_20201113.xlsx",2.73759099087156,35,"TR","DeepHole","8/26/2020","9:15","PML",0,0.5,NA,"TR_DeepHole_20200826_0915_PML_0.5_Limno.Sample.20160505",185,NA
"F186",0.04,NA,1,"SRP_run3_20201113.xlsx",6.902497444289,35,"TR","DeepHole","8/26/2020","9:15","Hypo",5,5,NA,"TR_DeepHole_20200826_0915_Hypo_5_Limno.Sample.20160505",186,NA
"F187",0.025,NA,1,"SRP_run3_20201113.xlsx",4.49966679808663,35,"WL","DeepHole","8/26/2020","11:37","PML",0,1.5,NA,"WL_DeepHole_20200826_1137_PML_1.5_Limno.Sample.20160505",187,NA
"F188",0.36,NA,1,"SRP_run3_20201113.xlsx",58.1628845632729,35,"WL","DeepHole","8/26/2020","11:37","Hypo",8,8,NA,"WL_DeepHole_20200826_1137_Hypo_8_Limno.Sample.20160505",188,NA
