"sample","abs","dilution","runID","TN","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","comments","sampleID"
"U46",0.004882636,2,"TN_run2_202011102.csv",1064.42544301762,15,"MO","DeepHole","6/22/2020","9:05","PML",0,3.5,"","MO_DeepHole_20200622_0905_PML_3.5_Limno.Sample.20160505"
"U47",0.005158786,2,"TN_run2_202011102.csv",1258.7788864073,15,"MO","DeepHole","6/22/2020","9:05","Hypo",7,7,"","MO_DeepHole_20200622_0905_Hypo_7_Limno.Sample.20160505"
"U48",0.004911279,2,"TN_run2_202011102.csv",1084.58429030717,15,"MO","Inlet1","6/22/2020","9:05","Surface",0,0,"","MO_Inlet1_20200622_0905_Surface_0_Limno.Sample.20160505"
"U49",0.005308025,2,"TN_run2_202011102.csv",1363.81279384178,15,"MO","Inlet2","6/22/2020","9:05","Surface",0,0,"","MO_Inlet2_20200622_0905_Surface_0_Limno.Sample.20160505"
"U5",0.005300337,5,"TN_run2_202011102.csv",3396.0050130964,3,"FE","DeepHole","6/4/2020","10:45","Hypo",8,8,"","FE_DeepHole_20200604_1045_Hypo_8_Limno.Sample.20160505"
"U50",0.006113138,2,"TN_run2_202011102.csv",1930.4486217172,15,"MO","Inlet3","6/22/2020","9:05","Surface",0,0,"","MO_Inlet3_20200622_0905_Surface_0_Limno.Sample.20160505"
"U51",0.00441444,1,"TN_run2_202011102.csv",367.455334615317,3,"FE","DeepHole","6/23/2020","11:25","PML",0,1.5,"","FE_DeepHole_20200623_1125_PML_1.5_Limno.Sample.20160505"
"U52",0.005004787,2,"TN_run2_202011102.csv",1150.3949069448,3,"FE","DeepHole","6/23/2020","11:25","Hypo",8,8,"","FE_DeepHole_20200623_1125_Hypo_8_Limno.Sample.20160505"
"U53",0.006809422,2,"TN_run2_202011102.csv",2420.49096456399,3,"FE","Inlet1","6/23/2020","11:25","Surface",0,0,"","FE_Inlet1_20200623_1125_Surface_0_Limno.Sample.20160505"
"U54",0.004385426,2,"TN_run2_202011102.csv",714.490713385954,3,"WL","DeepHole","6/23/2020","9:45","PML",0,1.5,"","WL_DeepHole_20200623_0945_PML_1.5_Limno.Sample.20160505"
"U55",0.004758743,2,"TN_run2_202011102.csv",977.22996533564,3,"WL","DeepHole","6/23/2020","9:45","Hypo",8,8,"","WL_DeepHole_20200623_0945_Hypo_8_Limno.Sample.20160505"
"U56",0.005026934,2,"TN_run2_202011102.csv",1165.98189123143,15,"HB","DeepHole","6/24/2020","10:53","PML",0,0.5,"","HB_DeepHole_20200624_1053_PML_0.5_Limno.Sample.20160505"
"U57",0.005641221,2,"TN_run2_202011102.csv",1598.31502061588,15,"HB","DeepHole","6/24/2020","10:53","Hypo",4,4,"","HB_DeepHole_20200624_1053_Hypo_4_Limno.Sample.20160505"
"U58",0.005053332,2,"TN_run2_202011102.csv",1184.56071505399,15,"HB","Outlet","6/24/2020","10:53","Surface",0,0,"","HB_Outlet_20200624_1053_Surface_0_Limno.Sample.20160505"
"U59",0.004352596,2,"TN_run2_202011102.csv",691.385069545711,17,"ME","DeepHole","6/24/2020","8:52","PML",0,1.5,"","ME_DeepHole_20200624_0852_PML_1.5_Limno.Sample.20160505"
"U6",0.00668209,4,"TN_run2_202011102.csv",4661.75026044288,3,"FE","Inlet1","6/4/2020","10:45","Surface",0,0,"","FE_Inlet1_20200604_1045_Surface_0_Limno.Sample.20160505"
"U60",0.004398245,2,"TN_run2_202011102.csv",723.512682572311,17,"ME","DeepHole","6/24/2020","8:52","Hypo",3,3,"","ME_DeepHole_20200624_0852_Hypo_3_Limno.Sample.20160505"
"U61",0.00420011,1,"TN_run2_202011102.csv",292.032967203203,17,"ME","Outlet","6/24/2020","8:52","Surface",0,0,"","ME_Outlet_20200624_0852_Surface_0_Limno.Sample.20160505"
"U62",0.004140876,2,"TN_run2_202011102.csv",542.377243963732,15,"CR","DeepHole","6/25/2020","10:06","PML",0,2.5,"","CR_DeepHole_20200625_1006_PML_2.5_Limno.Sample.20160505"
"U63",0.004333185,2,"TN_run2_202011102.csv",677.723672878547,15,"CR","DeepHole","6/25/2020","10:06","Hypo",11,11,"","CR_DeepHole_20200625_1006_Hypo_11_Limno.Sample.20160505"
"U64",0.004341189,2,"TN_run2_202011102.csv",683.356861221444,15,"CR","Outlet","6/25/2020","10:06","Surface",0,0,"","CR_Outlet_20200625_1006_Surface_0_Limno.Sample.20160505"
"U65",0.004433649,2,"TN_run2_202011102.csv",748.429898975599,17,"TU","DeepHole","6/25/2020","12:31","PML",0,1.5,"","TU_DeepHole_20200625_1231_PML_1.5_Limno.Sample.20160505"
"U66",0.004584064,2,"TN_run2_202011102.csv",854.291471264062,17,"TU","DeepHole","6/25/2020","12:31","Hypo",7,7,"","TU_DeepHole_20200625_1231_Hypo_7_Limno.Sample.20160505"
"U67",0.004325888,2,"TN_run2_202011102.csv",672.58806876334,17,"WA","DeepHole","6/29/2020","8:54","PML",0,1,"","WA_DeepHole_20200629_0854_PML_1_Limno.Sample.20160505"
"U68",0.004549773,2,"TN_run2_202011102.csv",830.157580526146,17,"WA","DeepHole","6/29/2020","8:54","Hypo",3.5,3.5,"","WA_DeepHole_20200629_0854_Hypo_3.5_Limno.Sample.20160505"
"U69",0.004433816,2,"TN_run2_202011102.csv",748.547433015238,3,"FE","DeepHole","6/30/2020","11:30","PML",0,1,"","FE_DeepHole_20200630_1130_PML_1_Limno.Sample.20160505"
"U7",0.004677987,5,"TN_run2_202011102.csv",2300.98540877295,35,"BR","DeepHole","6/6/2020","13:54","point",5.5,5.5,"","BR_DeepHole_20200606_1354_point_5.5_Limno.Sample.20160505"
"U70",0.004564529,2,"TN_run2_202011102.csv",840.542803812976,3,"FE","DeepHole","6/30/2020","11:30","Hypo",8,8,"","FE_DeepHole_20200630_1130_Hypo_8_Limno.Sample.20160505"
"U71",0.004137303,2,"TN_run2_202011102.csv",539.862578552791,3,"WL","DeepHole","6/30/2020","9:58","PML",0,1,"","WL_DeepHole_20200630_0958_PML_1_Limno.Sample.20160505"
"U72",0.005000058,2,"TN_run2_202011102.csv",1147.06665261278,3,"WL","DeepHole","6/30/2020","9:58","Hypo",8,8,"","WL_DeepHole_20200630_0958_Hypo_8_Limno.Sample.20160505"
"U73",0.005556328,2,"TN_run3_202011112.csv",1264.41581282179,17,"BO","DeepHole","7/1/2020","10:41","PML",0,0.25,"","BO_DeepHole_20200701_1041_PML_0.25_Limno.Sample.20160505"
"U74",0.00637565,1,"TN_run3_202011112.csv",913.23714514524,17,"BO","DeepHole","7/1/2020","10:41","Hypo",2,2,"","BO_DeepHole_20200701_1041_Hypo_2_Limno.Sample.20160505"
"U75",0.004367748,2,"TN_run2_202011102.csv",702.048996303778,17,"CB","DeepHole","7/1/2020","9:09","PML",0,0.5,"","CB_DeepHole_20200701_0909_PML_0.5_Limno.Sample.20160505"
"U76",0.005186819,2,"TN_run3_202011112.csv",1010.93102179826,17,"CB","DeepHole","7/1/2020","9:09","Hypo",3,3,"","CB_DeepHole_20200701_0909_Hypo_3_Limno.Sample.20160505"
"U77",0.005394233,2,"TN_run3_202011112.csv",1153.2179334712,17,"NG","DeepHole","7/3/2020","9:20","PML",0,0.25,"","NG_DeepHole_20200703_0920_PML_0.25_Limno.Sample.20160505"
"U78",0.006745264,2,"TN_run3_202011112.csv",2080.0311117735,17,"NG","DeepHole","7/3/2020","9:20","Hypo",4,4,"","NG_DeepHole_20200703_0920_Hypo_4_Limno.Sample.20160505"
"U79",0.005416461,2,"TN_run3_202011112.csv",1168.46643874406,15,"MO","DeepHole","7/6/2020","9:01","PML",0,0.5,"","MO_DeepHole_20200706_0901_PML_0.5_Limno.Sample.20160505"
"U8",0.006876224,5,"TN_run2_202011102.csv",6168.76497003136,35,"CB","DeepHole","6/6/2020","10:10","point",5.5,5.5,"","CB_DeepHole_20200606_1010_point_5.5_Limno.Sample.20160505"
"U80",0.005761521,2,"TN_run3_202011112.csv",1405.17910877531,15,"MO","DeepHole","7/6/2020","9:01","Hypo",3.5,3.5,"","MO_DeepHole_20200706_0901_Hypo_3.5_Limno.Sample.20160505"
"U81",0.005839108,2,"TN_run3_202011112.csv",1458.40413030697,15,"MO","Inlet1","7/6/2020","9:01","Surface",0,0,"","MO_Inlet1_20200706_0901_Surface_0_Limno.Sample.20160505"
"U82",0.006129645,2,"TN_run3_202011112.csv",1657.71378373789,15,"MO","Inlet2","7/6/2020","9:01","Surface",0,0,"","MO_Inlet2_20200706_0901_Surface_0_Limno.Sample.20160505"
"U83",0.004986734,2,"TN_run3_202011112.csv",873.671836198068,3,"FE","DeepHole","7/7/2020","11:30","PML",0,0.25,"","FE_DeepHole_20200707_1130_PML_0.25_Limno.Sample.20160505"
"U84",0.005496633,2,"TN_run3_202011112.csv",1223.46478158805,3,"FE","DeepHole","7/7/2020","11:30","Hypo",8,8,"","FE_DeepHole_20200707_1130_Hypo_8_Limno.Sample.20160505"
"U85",0.00494701,1,"TN_run3_202011112.csv",423.210499180119,3,"WL","DeepHole","7/7/2020","10:00","PML",0,1,"","WL_DeepHole_20200707_1000_PML_1_Limno.Sample.20160505"
"U86",0.005594156,2,"TN_run3_202011112.csv",1290.36598636246,3,"WL","DeepHole","7/7/2020","10:00","Hypo",8,8,"","WL_DeepHole_20200707_1000_Hypo_8_Limno.Sample.20160505"
"U87",0.005563096,2,"TN_run3_202011112.csv",1269.05869043951,15,"HB","DeepHole","7/8/2020","9:45","PML",0,0.25,"","HB_DeepHole_20200708_0945_PML_0.25_Limno.Sample.20160505"
"U88",0.005771242,2,"TN_run3_202011112.csv",1411.84775731578,15,"HB","DeepHole","7/8/2020","9:45","Hypo",3.5,3.5,"","HB_DeepHole_20200708_0945_Hypo_3.5_Limno.Sample.20160505"
"U89",0.00573465,1,"TN_run3_202011112.csv",693.372742592013,15,"HB","Outlet","7/8/2020","9:45","Surface",0,0,"","HB_Outlet_20200708_0945_Surface_0_Limno.Sample.20160505"
"U9",0.008628205,5,"TN_run2_202011102.csv",9251.36084277532,35,"NG","DeepHole","6/6/2020","11:35","point",5.5,5.5,"","NG_DeepHole_20200606_1135_point_5.5_Limno.Sample.20160505"
"U90",0.004893922,2,"TN_run3_202011112.csv",810.002398039659,15,"CR","DeepHole","7/10/2020","10:25","PML",0,2.5,"","CR_DeepHole_20200710_1025_PML_2.5_Limno.Sample.20160505"
"U91",0.004877567,2,"TN_run3_202011112.csv",798.782796467871,15,"CR","DeepHole","7/10/2020","10:25","Hypo",7.5,7.5,"","CR_DeepHole_20200710_1025_Hypo_7.5_Limno.Sample.20160505"
"U92",0.005065095,2,"TN_run3_202011112.csv",927.427825116863,15,"CR","Outlet","7/10/2020","10:25","Surface",0,0,"","CR_Outlet_20200710_1025_Surface_0_Limno.Sample.20160505"
"U93",0.004973694,2,"TN_run3_202011112.csv",864.726339133188,3,"FE","DeepHole","7/15/2020","10:15","PML",0,1.5,"","FE_DeepHole_20200715_1015_PML_1.5_Limno.Sample.20160505"
"U94",0.005246483,2,"TN_run3_202011112.csv",1051.86078689635,3,"FE","DeepHole","7/15/2020","10:15","Hypo",8,8,"","FE_DeepHole_20200715_1015_Hypo_8_Limno.Sample.20160505"
"U95",0.006860765,2,"TN_run3_202011112.csv",2159.26530322218,3,"FE","Inlet1","7/15/2020","10:15","Surface",0,0,"","FE_Inlet1_20200715_1015_Surface_0_Limno.Sample.20160505"
"U96",0.005001967,2,"TN_run3_202011112.csv",884.121740859826,3,"WL","DeepHole","7/15/2020","9:07","PML",0,2,"","WL_DeepHole_20200715_0907_PML_2_Limno.Sample.20160505"
"U97",0.005151309,2,"TN_run3_202011112.csv",986.571006401492,3,"WL","DeepHole","7/15/2020","9:07","Hypo",8,8,"","WL_DeepHole_20200715_0907_Hypo_8_Limno.Sample.20160505"
"U98",0.004869152,2,"TN_run3_202011112.csv",793.010069642643,41,"JO","DeepHole","7/16/2020","11:20","PML",0,2,"","JO_DeepHole_20200716_1120_PML_2_Limno.Sample.20160505"
"U99",0.004985056,2,"TN_run3_202011112.csv",872.520720854903,41,"JO","DeepHole","7/16/2020","11:20","Hypo",4.5,4.5,"","JO_DeepHole_20200716_1120_Hypo_4.5_Limno.Sample.20160505"
