"projectID","sampleID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","DOC","TN_DOC","replicate","metadataID","comments","flag","updateID"
3,"WL_DeepHole_20200728_1015_PML_1.5_Limno.Sample.20160505","WL","DeepHole",2020-07-28,2020-07-28 10:15:00,"PML",0,1.5,6.96582583659141,"NA",1,"NA",NA,"NA","NA"
3,"WL_DeepHole_20200728_1015_Hypo_8_Limno.Sample.20160505","WL","DeepHole",2020-07-28,2020-07-28 10:15:00,"Hypo",8,8,6.64521583990243,"NA",2,"NA",NA,"NA","NA"
17,"PA_DeepHole_20200729_1015_PML_2.5_Limno.Sample.20160505","PA","DeepHole",2020-07-29,2020-07-29 10:15:00,"PML",0,2.5,4.63843980524856,"NA",2,"NA",NA,"NA","NA"
17,"PA_DeepHole_20200729_1015_Hypo_7_Limno.Sample.20160505","PA","DeepHole",2020-07-29,2020-07-29 10:15:00,"Hypo",7,7,5.21596232796184,"NA",2,"NA",NA,"NA","NA"
17,"PE_DeepHole_20200729_0845_PML_2_Limno.Sample.20160505","PE","DeepHole",2020-07-29,2020-07-29 08:45:00,"PML",0,2,5.70359932870343,"NA",1,"NA",NA,"NA","NA"
17,"PE_DeepHole_20200729_0845_Hypo_10_Limno.Sample.20160505","PE","DeepHole",2020-07-29,2020-07-29 08:45:00,"Hypo",10,10,6.11519492910169,"NA",1,"NA",NA,"NA","NA"
35,"TF_DeepHole_20200607_1145_point_7_Limno.Sample.20160505","TF","DeepHole",2020-06-07,2020-06-07 11:45:00,"point",7,7,9.17399743177718,"NA",1,"NA",NA,"NA","NA"
17,"TU_DeepHole_20200729_1130_PML_1.5_Limno.Sample.20160505","TU","DeepHole",2020-07-29,2020-07-29 11:30:00,"PML",0,1.5,9.39299261954597,"NA",2,"NA",NA,"NA","NA"
17,"TU_DeepHole_20200729_1130_Hypo_6_Limno.Sample.20160505","TU","DeepHole",2020-07-29,2020-07-29 11:30:00,"Hypo",6,6,10.6676917213854,"NA",2,"NA",NA,"NA","NA"
15,"MO_DeepHole_20200803_0850_PML_1_Limno.Sample.20160505","MO","DeepHole",2020-08-03,2020-08-03 08:50:00,"PML",0,1,16.1469022442628,"NA",1,"NA",NA,"NA","NA"
15,"MO_DeepHole_20200803_0850_Hypo_4_Limno.Sample.20160505","MO","DeepHole",2020-08-03,2020-08-03 08:50:00,"Hypo",4,4,12.8217086968029,"NA",2,"NA",NA,"NA","NA"
15,"MO_PML_20200803_0850_Surface_0_Limno.Sample.20160505","MO","Inlet1",2020-08-03,2020-08-03 08:50:00,"Surface",0,0,11.4484761027469,"NA",2,"NA",NA,"NA","NA"
15,"MO_PML_20200803_0850_Surface_0_Limno.Sample.20160505","MO","Inlet2",2020-08-03,2020-08-03 08:50:00,"Surface",0,0,32.1018444269733,"NA",2,"NA",NA,"NA","NA"
15,"MO_PML_20200803_0850_Surface_0_Limno.Sample.20160505","MO","Inlet3",2020-08-03,2020-08-03 08:50:00,"Surface",0,0,67.9463339135672,"NA",1,"NA",NA,"NA","NA"
3,"FE_DeepHole_20200804_1045_PML_2_Limno.Sample.20160505","FE","DeepHole",2020-08-04,2020-08-04 10:45:00,"PML",0,2,15.8600325833791,"NA",1,"NA",NA,"NA","NA"
3,"FE_DeepHole_20200804_1045_PML_2_Limno.Sample.20160505","FE","DeepHole",2020-08-04,2020-08-04 10:45:00,"PML",0,2,15.264245427854,"NA",2,"NA",NA,"NA","NA"
3,"FE_DeepHole_20200804_1045_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-08-04,2020-08-04 10:45:00,"Hypo",8,8,18.3472085185097,"NA",2,"NA",NA,"NA","NA"
3,"FE_PML_20200804_1045_Surface_0_Limno.Sample.20160505","FE","Inlet1",2020-08-04,2020-08-04 10:45:00,"Surface",0,0,83.6709753524078,"NA",1,"NA",NA,"NA","NA"
3,"FE_PML_20200804_1045_Surface_0_Limno.Sample.20160505","FE","Inlet1",2020-08-04,2020-08-04 10:45:00,"Surface",0,0,86.0060248581153,"NA",2,"NA",NA,"NA","NA"
3,"WL_DeepHole_20200804_0845_PML_2.5_Limno.Sample.20160505","WL","DeepHole",2020-08-04,2020-08-04 08:45:00,"PML",0,2.5,6.95199433966335,"NA",1,"NA",NA,"NA","NA"
3,"WL_DeepHole_20200804_0845_PML_2.5_Limno.Sample.20160505","WL","DeepHole",2020-08-04,2020-08-04 08:45:00,"PML",0,2.5,7.18908526832259,"NA",2,"NA",NA,"NA","NA"
3,"WL_DeepHole_20200804_0845_Hypo_8_Limno.Sample.20160505","WL","DeepHole",2020-08-04,2020-08-04 08:45:00,"Hypo",8,8,6.07226232963722,"NA",1,"NA",NA,"NA","NA"
