"docID","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","replicate","comments","sampleID","DOC_mgL","runID"
"D182",15,"CR","DeepHole","7/10/2020","10:25","Hypo",7.5,7.5,2,NA,"CR_DeepHole_20200710_1025_Hypo_7.5_Limno.Sample.20160505",4.99996817980467,"2"
"D183",15,"CR","Outlet","7/10/2020","10:25","Surface",0,0,1,NA,"CR_Outlet_20200710_1025_Surface_0_Limno.Sample.20160505",5.80836911789572,"1"
"D184",15,"CR","Outlet","7/10/2020","10:25","Surface",0,0,2,NA,"CR_Outlet_20200710_1025_Surface_0_Limno.Sample.20160505",5.08405479165901,"6"
"D185",3,"FE","DeepHole","7/15/2020","10:15","PML",0,1.5,1,NA,"FE_DeepHole_20200715_1015_PML_1.5_Limno.Sample.20160505",11.3226395499708,"6"
"D186",3,"FE","DeepHole","7/15/2020","10:15","PML",0,1.5,2,NA,"FE_DeepHole_20200715_1015_PML_1.5_Limno.Sample.20160505",12.276656341124,"1"
"D187",3,"FE","DeepHole","7/15/2020","10:15","Hypo",8,8,1,NA,"FE_DeepHole_20200715_1015_Hypo_8_Limno.Sample.20160505",16.9879182161592,"4"
"D188",3,"FE","DeepHole","7/15/2020","10:15","Hypo",8,8,2,NA,"FE_DeepHole_20200715_1015_Hypo_8_Limno.Sample.20160505",16.0320318736859,"6"
"D189",3,"FE","Inlet1","7/15/2020","10:15","Surface",0,0,1,NA,"FE_Inlet1_20200715_1015_Surface_0_Limno.Sample.20160505",67.8433096542835,"1"
"D19",35,"WA","DeepHole","6/6/2020","11:00","point",5.5,5.5,1,NA,"WA_DeepHole_20200606_1100_point_5.5_Limno.Sample.20160505",8.88248804408016,"3"
"D190",3,"FE","Inlet1","7/15/2020","10:15","Surface",0,0,2,NA,"FE_Inlet1_20200715_1015_Surface_0_Limno.Sample.20160505",63.2773368831719,"6"
"D191",3,"WL","DeepHole","7/15/2020","9:07","PML",0,2,1,NA,"WL_DeepHole_20200715_0907_PML_2_Limno.Sample.20160505",6.79980286836799,"2"
"D192",3,"WL","DeepHole","7/15/2020","9:07","PML",0,2,2,NA,"WL_DeepHole_20200715_0907_PML_2_Limno.Sample.20160505",6.55766173172658,"6"
"D193",3,"WL","DeepHole","7/15/2020","9:07","Hypo",8,8,1,NA,"WL_DeepHole_20200715_0907_Hypo_8_Limno.Sample.20160505",6.92310679150257,"6"
"D194",3,"WL","DeepHole","7/15/2020","9:07","Hypo",8,8,2,NA,"WL_DeepHole_20200715_0907_Hypo_8_Limno.Sample.20160505",7.23513112556432,"4"
"D195",41,"JO","DeepHole","7/16/2020","11:20","PML",0,2,1,NA,"JO_DeepHole_20200716_1120_PML_2_Limno.Sample.20160505",9.05664364534038,"6"
"D196",41,"JO","DeepHole","7/16/2020","11:20","PML",0,2,2,NA,"JO_DeepHole_20200716_1120_PML_2_Limno.Sample.20160505",9.0038327766094,"4"
"D197",41,"JO","DeepHole","7/16/2020","11:20","Hypo",4.5,4.5,1,NA,"JO_DeepHole_20200716_1120_Hypo_4.5_Limno.Sample.20160505",8.7842288803387,"4"
"D198",41,"JO","DeepHole","7/16/2020","11:20","Hypo",4.5,4.5,2,NA,"JO_DeepHole_20200716_1120_Hypo_4.5_Limno.Sample.20160505",8.65453581257716,"6"
"D199",15,"MO","DeepHole","7/20/2020","9:00","PML",0,1,1,NA,"MO_DeepHole_20200720_0900_PML_1_Limno.Sample.20160505",15.6500294325609,"6"
"D2",35,"HB","DeepHole","6/3/2020","10:40","point",7,7,2,NA,"HB_DeepHole_20200603_1040_point_7_Limno.Sample.20160505",31.1072510741521,"5"
"D20",35,"WA","DeepHole","6/6/2020","11:00","point",5.5,5.5,2,NA,"WA_DeepHole_20200606_1100_point_5.5_Limno.Sample.20160505",8.86135327549348,"5"
"D200",15,"MO","DeepHole","7/20/2020","9:00","PML",0,1,2,NA,"MO_DeepHole_20200720_0900_PML_1_Limno.Sample.20160505",16.3718402585133,"4"
"D201",15,"MO","DeepHole","7/20/2020","9:00","Hypo",4,4,1,NA,"MO_DeepHole_20200720_0900_Hypo_4_Limno.Sample.20160505",9.82656187807232,"6"
"D202",15,"MO","DeepHole","7/20/2020","9:00","Hypo",4,4,2,NA,"MO_DeepHole_20200720_0900_Hypo_4_Limno.Sample.20160505",13.4149034714306,"4"
"D203",15,"MO","Inlet1","7/20/2020","9:00","Surface",0,0,1,NA,"MO_Inlet1_20200720_0900_Surface_0_Limno.Sample.20160505",12.7655881673221,"4"
"D204",15,"MO","Inlet1","7/20/2020","9:00","Surface",0,0,2,NA,"MO_Inlet1_20200720_0900_Surface_0_Limno.Sample.20160505",10.6201335127315,"6"
"D205",15,"MO","Inlet2","7/20/2020","9:00","Surface",0,0,1,NA,"MO_Inlet2_20200720_0900_Surface_0_Limno.Sample.20160505",33.2528911468192,"6"
"D206",15,"MO","Inlet2","7/20/2020","9:00","Surface",0,0,2,NA,"MO_Inlet2_20200720_0900_Surface_0_Limno.Sample.20160505",34.9277759693434,"4"
"D207",15,"MO","Inlet3","7/20/2020","9:00","Surface",0,0,1,NA,"MO_Inlet3_20200720_0900_Surface_0_Limno.Sample.20160505",68.4337785033121,"6"
"D208",15,"MO","Inlet3","7/20/2020","9:00","Surface",0,0,2,NA,"MO_Inlet3_20200720_0900_Surface_0_Limno.Sample.20160505",65.3684371367261,"4"
"D209",3,"WL","DeepHole","7/21/2020","9:57","PML",0,2,1,NA,"WL_DeepHole_20200721_0957_PML_2_Limno.Sample.20160505",7.03926819105261,"4"
"D21",35,"MI","DeepHole","6/7/2020","10:47","point",10,10,1,NA,"MI_DeepHole_20200607_1047_point_10_Limno.Sample.20160505",20.7835704737524,"3"
"D210",3,"WL","DeepHole","7/21/2020","9:57","PML",0,2,2,NA,"WL_DeepHole_20200721_0957_PML_2_Limno.Sample.20160505",6.87698265774444,"6"
"D211",3,"WL","DeepHole","7/21/2020","9:57","Hypo",8,8,1,NA,"WL_DeepHole_20200721_0957_Hypo_8_Limno.Sample.20160505",6.72351339965799,"4"
"D212",3,"WL","DeepHole","7/21/2020","9:57","Hypo",8,8,2,NA,"WL_DeepHole_20200721_0957_Hypo_8_Limno.Sample.20160505",6.48670152594484,"6"
"D213",3,"FE","DeepHole","7/22/2020","11:45","PML",0,2,1,NA,"FE_DeepHole_20200722_1145_PML_2_Limno.Sample.20160505",12.2616796064825,"6"
"D214",3,"FE","DeepHole","7/22/2020","11:45","PML",0,2,2,NA,"FE_DeepHole_20200722_1145_PML_2_Limno.Sample.20160505",12.861739062446,"4"
"D215",3,"FE","DeepHole","7/22/2020","11:45","Hypo",8,8,1,NA,"FE_DeepHole_20200722_1145_Hypo_8_Limno.Sample.20160505",17.4093202873814,"4"
"D216",3,"FE","DeepHole","7/22/2020","11:45","Hypo",8,8,2,NA,"FE_DeepHole_20200722_1145_Hypo_8_Limno.Sample.20160505",16.7629219932379,"6"
"D217",3,"FE","Inlet1","7/22/2020","11:45","Surface",0,0,1,NA,"FE_Inlet1_20200722_1145_Surface_0_Limno.Sample.20160505",72.8096578598531,"6"
"D218",3,"FE","Inlet1","7/22/2020","11:45","Surface",0,0,2,NA,"FE_Inlet1_20200722_1145_Surface_0_Limno.Sample.20160505",75.1022314579138,"4"
"D219",15,"CR","DeepHole","7/23/2020","10:30","PML",0,3.5,1,NA,"CR_DeepHole_20200723_1030_PML_3.5_Limno.Sample.20160505",5.20527889517029,"4"
"D22",35,"MI","DeepHole","6/7/2020","10:47","point",10,10,2,NA,"MI_DeepHole_20200607_1047_point_10_Limno.Sample.20160505",20.8669789368378,"5"
"D220",15,"CR","DeepHole","7/23/2020","10:30","PML",0,3.5,2,NA,"CR_DeepHole_20200723_1030_PML_3.5_Limno.Sample.20160505",4.94686506048097,"6"
"D221",15,"CR","DeepHole","7/23/2020","10:30","Hypo",8,8,1,NA,"CR_DeepHole_20200723_1030_Hypo_8_Limno.Sample.20160505",5.10794095195841,"4"
"D222",15,"CR","DeepHole","7/23/2020","10:30","Hypo",8,8,2,NA,"CR_DeepHole_20200723_1030_Hypo_8_Limno.Sample.20160505",4.77774323670114,"6"
"D223",15,"CR","Outlet","7/23/2020","10:30","Surface",0,0,1,NA,"CR_Outlet_20200723_1030_Surface_0_Limno.Sample.20160505",5.06045902844042,"4"
