"projectID","lakeID","siteID","sampleID","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","crew","weather","comments","metadataID","updateID"
"3","FE","FE_DeepHole","FE_DeepHole_20200820_1132_PML_1.5_Limno.Sample.20160505",2020-08-20,2020-08-20 11:32:00,"PML",0,1.5,"RN and CO","overcast","Deck PAR 1345.0","Color.20110601","samplecolor.20210505"
"3","FE","FE_Inlet1","FE_Inlet1_20200604_1045_Surface_0_Limno.Sample.20160505",2020-06-04,2020-06-04 10:45:00,"Surface",0,0,"BB and RN","sunny and breezy","Deck PAR 1143.9","Color.20110601","samplecolor.20210505"
"3","FE","FE_Inlet1","FE_Inlet1_20200609_1148_Surface_0_Limno.Sample.20160505",2020-06-09,2020-06-09 11:48:00,"Surface",0,0,"RN and CS","sunny misty clouds","DeckPAR 1234.6 PML at 0 and 0.5 m inlet wet but not flowing through weir","Color.20110601","samplecolor.20210505"
"3","FE","FE_Inlet1","FE_Inlet1_20200616_1035_Surface_0_Limno.Sample.20160505",2020-06-16,2020-06-16 10:35:00,"Surface",0,0,"RN and CS","sunny and windy","Deck PAR at 1292.8 and minidot in bag at 11:13 out before 11:38","Color.20110601","samplecolor.20210505"
"3","FE","FE_Inlet1","FE_Inlet1_20200623_1125_Surface_0_Limno.Sample.20160505",2020-06-23,2020-06-23 11:25:00,"Surface",0,0,"RN and CS","Full Cloud","Deck PAR 259.7","Color.20110601","samplecolor.20210505"
"3","FE","FE_Inlet1","FE_Inlet1_20200715_1015_Surface_0_Limno.Sample.20160505",2020-07-15,2020-07-15 10:15:00,"Surface",0,0,"RN and CS","sunny breezy","Deck PAR 1260.2","Color.20110601","samplecolor.20210505"
"3","FE","FE_Inlet1","FE_Inlet1_20200722_1145_Surface_0_Limno.Sample.20160505",2020-07-22,2020-07-22 11:45:00,"Surface",0,0,"RN and CS","full cloud rainy","Deck PAR 762.3 and DO sensors and backup DO not calibrating","Color.20110601","samplecolor.20210505"
"3","FE","FE_Inlet1","FE_Inlet1_20200728_1210_Surface_0_Limno.Sample.20160505",2020-07-28,2020-07-28 12:10:00,"Surface",0,0,"RN and CS","sunny and windy","Deck PAR 2183.0","Color.20110601","samplecolor.20210505"
"3","FE","FE_Inlet1","FE_Inlet1_20200804_1045_Surface_0_Limno.Sample.20160505",2020-08-04,2020-08-04 10:45:00,"Surface",0,0,"RN and CS","sunny","Deck PAR 1885.5","Color.20110601","samplecolor.20210505"
"3","FE","FE_Inlet1","FE_Inlet1_20200811_1045_Surface_0_Limno.Sample.20160505",2020-08-11,2020-08-11 10:45:00,"Surface",0,0,"RN and CS","sunny windy","Deck PAR 1732.5","Color.20110601","samplecolor.20210505"
"3","FE","FE_Inlet1","FE_Inlet1_20200820_1132_Surface_0_Limno.Sample.20160505",2020-08-20,2020-08-20 11:32:00,"Surface",0,0,"RN and CO","overcast","Deck PAR 1345.0","Color.20110601","samplecolor.20210505"
"15","HB","HB_DeepHole","HB_DeepHole_20200610_1140_Hypo_4_Limno.Sample.20160505",2020-06-10,2020-06-10 11:40:00,"Hypo",4,4,"RN and CS","full clouds light rain","Deck PAR 161.89 PML in 2 sections because so short 0 and .5","Color.20110601","samplecolor.20210505"
