"projectID","sampleID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","abs440","g440","metadataID","comments","flag","updateID"
"3","EL_Inlet1_20130703_0000_surface_0_Limno.Sample.20130416","EL","Inlet1",2013-07-03,2013-07-03 00:00:00,"surface",0,0,2.97,68.39,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"3","EL_Outlet_20130703_0000_surface_0_Limno.Sample.20130416","EL","Outlet",2013-07-03,2013-07-03 00:00:00,"surface",0,0,0.32,7.5,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"15","HB_DeepHole_20130704_0940_PML_0.5_Limno.Sample.20130416","HB","DeepHole",2013-07-04,2013-07-04 09:40:00,"PML",0,0.5,1.13,26.23,"Color.20110601",NA,0,"originalDB.20160217"
"15","HB_DeepHole_20130704_0940_hypo_5_Limno.Sample.20130416","HB","DeepHole",2013-07-04,2013-07-04 09:40:00,"hypo",5,5,0.66,15.36,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"15","HB_Outlet_20130704_0000_surface_0_Limno.Sample.20130416","HB","Outlet",2013-07-04,2013-07-04 00:00:00,"surface",0,0,1.15,26.59,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"15","CR_DeepHole_20130704_1435_PML_2_Limno.Sample.20130416","CR","DeepHole",2013-07-04,2013-07-04 14:35:00,"PML",0,2,0.09,2.07,"Color.20110601",NA,0,"originalDB.20160217"
"15","CR_DeepHole_20130704_1435_hypo_12_Limno.Sample.20130416","CR","DeepHole",2013-07-04,2013-07-04 14:35:00,"hypo",12,12,0.07,1.68,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"15","CR_Outlet_20130704_0000_surface_0_Limno.Sample.20130416","CR","Outlet",2013-07-04,2013-07-04 00:00:00,"surface",0,0,0.08,1.86,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"16","BA_DeepHole_20130708_1100_PML_2_Limno.Sample.20130416","BA","DeepHole",2013-07-08,2013-07-08 11:00:00,"PML",0,2,0.12,2.78,"Color.20110601",NA,0,"originalDB.20160217"
"16","BA_DeepHole_20130708_1100_meta_5_Limno.Sample.20130416","BA","DeepHole",2013-07-08,2013-07-08 11:00:00,"meta",5,5,0.1,2.37,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"19","TF_DeepHole_20130709_0900_PML_3_Limno.Sample.20130416","TF","DeepHole",2013-07-09,2013-07-09 09:00:00,"PML",0,3,0.14,3.38,"Color.20110601",NA,0,"originalDB.20160217"
"16","BR_DeepHole_20130709_1100_PML_1_Limno.Sample.20130416","BR","DeepHole",2013-07-09,2013-07-09 11:00:00,"PML",0,1,0.25,5.78,"Color.20110601",NA,0,"originalDB.20160217"
"16","BR_DeepHole_20130709_1100_meta_4_Limno.Sample.20130416","BR","DeepHole",2013-07-09,2013-07-09 11:00:00,"meta",4,4,0.26,6.03,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"3","WL_DeepHole_20130710_0815_PML_1.5_Limno.Sample.20130416","WL","DeepHole",2013-07-10,2013-07-10 08:15:00,"PML",0,1.5,0.18,4.16,"Color.20110601",NA,0,"originalDB.20160217"
"3","WL_DeepHole_20130710_0815_hypo_8_Limno.Sample.20130416","WL","DeepHole",2013-07-10,2013-07-10 08:15:00,"hypo",8,8,0.15,3.47,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"3","EL_DeepHole_20130710_0925_PML_1.5_Limno.Sample.20130416","EL","DeepHole",2013-07-10,2013-07-10 09:25:00,"PML",0,1.5,0.38,8.91,"Color.20110601",NA,0,"originalDB.20160217"
"3","EL_DeepHole_20130710_0925_hypo_8_Limno.Sample.20130416","EL","DeepHole",2013-07-10,2013-07-10 09:25:00,"hypo",8,8,0.29,6.81,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"3","EL_Inlet1_20130710_0000_surface_0_Limno.Sample.20130416","EL","Inlet1",2013-07-10,2013-07-10 00:00:00,"surface",0,0,2.95,67.93,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"3","EL_Outlet_20130710_0000_surface_0_Limno.Sample.20130416","EL","Outlet",2013-07-10,2013-07-10 00:00:00,"surface",0,0,0.36,8.35,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"16","TU_DeepHole_20130715_1300_PML_1_Limno.Sample.20130416","TU","DeepHole",2013-07-15,2013-07-15 13:00:00,"PML",0,1,0.23,5.43,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"16","TU_DeepHole_20130715_1300_meta_3.5_Limno.Sample.20130416","TU","DeepHole",2013-07-15,2013-07-15 13:00:00,"meta",3.5,3.5,0.22,5.25,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"16","DW_DeepHole_20130716_1130_PML_0.5_Limno.Sample.20130416","DW","DeepHole",2013-07-16,2013-07-16 11:30:00,"PML",0,0.5,0.27,6.4,"Color.20110601",NA,0,"originalDB.20160217"
"16","DW_DeepHole_20130716_1130_meta_4.5_Limno.Sample.20130416","DW","DeepHole",2013-07-16,2013-07-16 11:30:00,"meta",4.5,4.5,0.15,3.52,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"18","BO_DeepHole_20130716_1400_PML_0.5_Limno.Sample.20130416","BO","DeepHole",2013-07-16,2013-07-16 14:00:00,"PML",0,0.5,0.85,19.62,"Color.20110601",NA,0,"originalDB.20160217"
"18","BO_DeepHole_20130716_1400_hypo_3_Limno.Sample.20130416","BO","DeepHole",2013-07-16,2013-07-16 14:00:00,"hypo",3,3,0.85,19.57,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"16","HB_DeepHole_20130711_1200_meta_3_Limno.Sample.20130416","HB","DeepHole",2013-07-11,2013-07-11 12:00:00,"meta",3,3,0.65,14.96,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"16","HB_DeepHole_20130711_1200_PML_0.5_Limno.Sample.20130416","HB","DeepHole",2013-07-11,2013-07-11 12:00:00,"PML",0,0.5,1.26,29.08,"Color.20110601",NA,0,"originalDB.20160217"
"16","RB_DeepHole_20130711_1000_meta_3.5_Limno.Sample.20130416","RB","DeepHole",2013-07-11,2013-07-11 10:00:00,"meta",3.5,3.5,0.15,3.5,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"16","RB_DeepHole_20130711_1000_PML_2_Limno.Sample.20130416","RB","DeepHole",2013-07-11,2013-07-11 10:00:00,"PML",0,2,0.19,4.37,"Color.20110601",NA,0,"originalDB.20160217"
"3","WL_DeepHole_20130717_0845_PML_1_Limno.Sample.20130416","WL","DeepHole",2013-07-17,2013-07-17 08:45:00,"PML",0,1,0.17,3.98,"Color.20110601",NA,0,"originalDB.20160217"
"3","WL_DeepHole_20130717_0845_hypo_8_Limno.Sample.20130416","WL","DeepHole",2013-07-17,2013-07-17 08:45:00,"hypo",8,8,0.19,4.39,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"3","EL_DeepHole_20130717_1010_PML_1_Limno.Sample.20130416","EL","DeepHole",2013-07-17,2013-07-17 10:10:00,"PML",0,1,0.42,9.67,"Color.20110601",NA,0,"originalDB.20160217"
"3","EL_DeepHole_20130717_1010_hypo_8_Limno.Sample.20130416","EL","DeepHole",2013-07-17,2013-07-17 10:10:00,"hypo",8,8,0.33,7.59,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"3","EL_Inlet1_20130717_0000_surface_0_Limno.Sample.20130416","EL","Inlet1",2013-07-17,2013-07-17 00:00:00,"surface",0,0,3.4,78.3,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"3","EL_Outlet_20130717_0000_surface_0_Limno.Sample.20130416","EL","Outlet",2013-07-17,2013-07-17 00:00:00,"surface",0,0,0.47,10.93,"Color.20110601",NA,0,"S_sampleIDReconstruct"
