bpID,projectID,lakeID,site,dateSample,timeSample,depthClass,depthTop,depthBottom,volFiltered,replicate,comments,sampleID
BP129,3,FE,DeepHole,7/7/2020,11:30,PML,0,0.25,250,1,,FE_DeepHole_20200707_1130_PML_0.25_Limno.Sample.20160505
BP130,3,FE,DeepHole,7/7/2020,11:30,PML,0,0.25,250,2,,FE_DeepHole_20200707_1130_PML_0.25_Limno.Sample.20160505
BP131,3,FE,DeepHole,7/7/2020,11:30,Hypo,8,8,250,1,,FE_DeepHole_20200707_1130_Hypo_8_Limno.Sample.20160505
BP132,3,FE,DeepHole,7/7/2020,11:30,Hypo,8,8,250,2,,FE_DeepHole_20200707_1130_Hypo_8_Limno.Sample.20160505
BP133,3,WL,DeepHole,7/7/2020,10:00,PML,0,1,250,1,,WL_DeepHole_20200707_1000_PML_1_Limno.Sample.20160505
BP134,3,WL,DeepHole,7/7/2020,10:00,PML,0,1,250,2,,WL_DeepHole_20200707_1000_PML_1_Limno.Sample.20160505
BP135,3,WL,DeepHole,7/7/2020,10:00,Hypo,8,8,150,1,,WL_DeepHole_20200707_1000_Hypo_8_Limno.Sample.20160505
BP136,3,WL,DeepHole,7/7/2020,10:00,Hypo,8,8,150,2,,WL_DeepHole_20200707_1000_Hypo_8_Limno.Sample.20160505
BP137,15,HB,DeepHole,7/8/2020,9:45,PML,0,0.25,250,1,,HB_DeepHole_20200708_0945_PML_0.25_Limno.Sample.20160505
BP138,15,HB,DeepHole,7/8/2020,9:45,PML,0,0.25,250,2,,HB_DeepHole_20200708_0945_PML_0.25_Limno.Sample.20160505
BP139,15,HB,DeepHole,7/8/2020,9:45,Hypo,3.5,3.5,150,1,,HB_DeepHole_20200708_0945_Hypo_3.5_Limno.Sample.20160505
BP140,15,HB,DeepHole,7/8/2020,9:45,Hypo,3.5,3.5,150,2,,HB_DeepHole_20200708_0945_Hypo_3.5_Limno.Sample.20160505
BP141,15,CR,DeepHole,7/10/2020,10:25,PML,0,2.5,250,1,,CR_DeepHole_20200710_1025_PML_2.5_Limno.Sample.20160505
BP142,15,CR,DeepHole,7/10/2020,10:25,PML,0,2.5,250,2,,CR_DeepHole_20200710_1025_PML_2.5_Limno.Sample.20160505
BP143,15,CR,DeepHole,7/10/2020,10:25,Hypo,7.5,7.5,150,1,,CR_DeepHole_20200710_1025_Hypo_7.5_Limno.Sample.20160505
BP144,15,CR,DeepHole,7/10/2020,10:25,Hypo,7.5,7.5,150,2,,CR_DeepHole_20200710_1025_Hypo_7.5_Limno.Sample.20160505
BP145,3,FE,DeepHole,7/15/2020,10:15,PML,0,1.5,250,1,,FE_DeepHole_20200715_1015_PML_1.5_Limno.Sample.20160505
BP146,3,FE,DeepHole,7/15/2020,10:15,PML,0,1.5,250,2,,FE_DeepHole_20200715_1015_PML_1.5_Limno.Sample.20160505
BP147,3,FE,DeepHole,7/15/2020,10:15,Hypo,8,8,250,1,,FE_DeepHole_20200715_1015_Hypo_8_Limno.Sample.20160505
BP148,3,FE,DeepHole,7/15/2020,10:15,Hypo,8,8,250,2,,FE_DeepHole_20200715_1015_Hypo_8_Limno.Sample.20160505
BP149,3,WL,DeepHole,7/15/2020,9:07,PML,0,2,250,1,,WL_DeepHole_20200715_0907_PML_2_Limno.Sample.20160505
BP150,3,WL,DeepHole,7/15/2020,9:07,PML,0,2,250,2,,WL_DeepHole_20200715_0907_PML_2_Limno.Sample.20160505
BP151,3,WL,DeepHole,7/15/2020,9:07,Hypo,8,8,150,1,,WL_DeepHole_20200715_0907_Hypo_8_Limno.Sample.20160505
BP152,3,WL,DeepHole,7/15/2020,9:07,Hypo,8,8,150,2,,WL_DeepHole_20200715_0907_Hypo_8_Limno.Sample.20160505
BP153,41,JO,DeepHole,7/16/2020,11:20,PML,0,2,250,1,,JO_DeepHole_20200716_1120_PML_2_Limno.Sample.20160505
BP154,41,JO,DeepHole,7/16/2020,11:20,PML,0,2,250,2,,JO_DeepHole_20200716_1120_PML_2_Limno.Sample.20160505
BP155,41,JO,DeepHole,7/16/2020,11:20,Hypo,4.5,4.5,250,1,,JO_DeepHole_20200716_1120_Hypo_4.5_Limno.Sample.20160505
BP156,41,JO,DeepHole,7/16/2020,11:20,Hypo,4.5,4.5,250,2,,JO_DeepHole_20200716_1120_Hypo_4.5_Limno.Sample.20160505
BP157,15,MO,DeepHole,7/20/2020,9:00,PML,0,1,150,1,,MO_DeepHole_20200720_0900_PML_1_Limno.Sample.20160505
