"colorID","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","abs440","g440","comments","sampleID"
"C109",3,"FE","DeepHole","7/28/2020","12:10","PML",0,1,"0.481",NA,"","FE_DeepHole_20200728_1210_PML_1_Limno.Sample.20160505"
"C110",3,"FE","DeepHole","7/28/2020","12:10","Hypo",8,8,"0.664",NA,"","FE_DeepHole_20200728_1210_Hypo_8_Limno.Sample.20160505"
"C111",3,"FE","Inlet1","7/28/2020","12:10","Surface",0,0,"2.412",NA,"","FE_PML_20200728_1210_Surface_0_Limno.Sample.20160505"
"C112",3,"WL","DeepHole","7/28/2020","10:15","PML",0,1.5,"0.145",NA,"","WL_DeepHole_20200728_1015_PML_1.5_Limno.Sample.20160505"
"C113",3,"WL","DeepHole","7/28/2020","10:15","Hypo",8,8,"0.228",NA,"","WL_DeepHole_20200728_1015_Hypo_8_Limno.Sample.20160505"
"C114",17,"PA","DeepHole","7/29/2020","10:15","PML",0,2.5,"0.048",NA,"","PA_DeepHole_20200729_1015_PML_2.5_Limno.Sample.20160505"
"C115",17,"PA","DeepHole","7/29/2020","10:15","Hypo",7,7,"0.058",NA,"","PA_DeepHole_20200729_1015_Hypo_7_Limno.Sample.20160505"
"C116",17,"PE","DeepHole","7/29/2020","8:45","PML",0,2,"0.08",NA,"","PE_DeepHole_20200729_0845_PML_2_Limno.Sample.20160505"
"C117",17,"PE","DeepHole","7/29/2020","8:45","Hypo",10,10,"0.228",NA,"","PE_DeepHole_20200729_0845_Hypo_10_Limno.Sample.20160505"
"C118",17,"TU","DeepHole","7/29/2020","11:30","PML",0,1.5,"0.113",NA,"","TU_DeepHole_20200729_1130_PML_1.5_Limno.Sample.20160505"
"C119",17,"TU","DeepHole","7/29/2020","11:30","Hypo",6,6,"0.201",NA,"","TU_DeepHole_20200729_1130_Hypo_6_Limno.Sample.20160505"
"C120",15,"MO","DeepHole","8/3/2020","8:50","PML",0,1,"0.456",NA,"","MO_DeepHole_20200803_0850_PML_1_Limno.Sample.20160505"
"C121",15,"MO","DeepHole","8/3/2020","8:50","Hypo",4,4,"0.597",NA,"","MO_DeepHole_20200803_0850_Hypo_4_Limno.Sample.20160505"
"C122",15,"MO","Inlet1","8/3/2020","8:50","Surface",0,0,"0.15",NA,"","MO_PML_20200803_0850_Surface_0_Limno.Sample.20160505"
"C123",15,"MO","Inlet2","8/3/2020","8:50","Surface",0,0,"1.118",NA,"","MO_PML_20200803_0850_Surface_0_Limno.Sample.20160505"
"C124",15,"MO","Inlet3","8/3/2020","8:50","Surface",0,0,"2.455",NA,"","MO_PML_20200803_0850_Surface_0_Limno.Sample.20160505"
"C125",3,"FE","DeepHole","8/4/2020","10:45","PML",0,2,"0.486",NA,"","FE_DeepHole_20200804_1045_PML_2_Limno.Sample.20160505"
"C126",3,"FE","DeepHole","8/4/2020","10:45","Hypo",8,8,"0.638",NA,"","FE_DeepHole_20200804_1045_Hypo_8_Limno.Sample.20160505"
"C127",3,"FE","Inlet1","8/4/2020","10:45","Surface",0,0,"2.61",NA,"","FE_PML_20200804_1045_Surface_0_Limno.Sample.20160505"
"C128",3,"WL","DeepHole","8/4/2020","8:45","PML",0,2.5,"0.138",NA,"","WL_DeepHole_20200804_0845_PML_2.5_Limno.Sample.20160505"
"C129",3,"WL","DeepHole","8/4/2020","8:45","Hypo",8,8,"0.206",NA,"","WL_DeepHole_20200804_0845_Hypo_8_Limno.Sample.20160505"
"C130",15,"HB","DeepHole","8/5/2020","8:55","PML",0,1,"0.882",NA,"","HB_DeepHole_20200805_0855_PML_1_Limno.Sample.20160505"
"C131",15,"HB","DeepHole","8/5/2020","8:55","Hypo",4,4,"0.819",NA,"","HB_DeepHole_20200805_0855_Hypo_4_Limno.Sample.20160505"
"C132",15,"HB","Outlet","8/5/2020","8:55","Surface",0,0,"0.901",NA,"","HB_PML_20200805_0855_Surface_0_Limno.Sample.20160505"
"C133",15,"CR","DeepHole","8/6/2020","9:22","PML",0,3.5,"0.053",NA,"","CR_DeepHole_20200806_0922_PML_3.5_Limno.Sample.20160505"
"C134",15,"CR","DeepHole","8/6/2020","9:22","Hypo",8,8,"0.105",NA,"","CR_DeepHole_20200806_0922_Hypo_8_Limno.Sample.20160505"
"C135",15,"CR","Outlet","8/6/2020","9:22","Surface",0,0,"0.062",NA,"","CR_PML_20200806_0922_Surface_0_Limno.Sample.20160505"
"C136",3,"FE","DeepHole","8/11/2020","10:45","PML",0,1,"0.492",NA,"","FE_DeepHole_20200811_1045_PML_1_Limno.Sample.20160505"
"C137",3,"FE","DeepHole","8/11/2020","10:45","Hypo",8,8,"0.67",NA,"","FE_DeepHole_20200811_1045_Hypo_8_Limno.Sample.20160505"
"C138",3,"FE","Inlet1","8/11/2020","10:45","Surface",0,0,"2.475",NA,"","FE_PML_20200811_1045_Surface_0_Limno.Sample.20160505"
"C139",3,"WL","DeepHole","8/11/2020","9:48","PML",0,1.5,"0.147",NA,"","WL_DeepHole_20200811_0948_PML_1.5_Limno.Sample.20160505"
"C140",3,"WL","DeepHole","8/11/2020","9:48","Hypo",8,8,"0.223",NA,"","WL_DeepHole_20200811_0948_Hypo_8_Limno.Sample.20160505"
"C141",17,"BO","DeepHole","8/12/2020","10:55","PML",0,0,"0.445",NA,"","BO_DeepHole_20200812_1055_PML_0_Limno.Sample.20160505"
"C142",17,"BO","DeepHole","8/12/2020","10:55","Hypo",2,2,"0.588",NA,"","BO_DeepHole_20200812_1055_Hypo_2_Limno.Sample.20160505"
"C143",17,"CB","DeepHole","8/12/2020","9:15","PML",0,0.5,"0.471",NA,"","CB_DeepHole_20200812_0915_PML_0.5_Limno.Sample.20160505"
"C144",17,"CB","DeepHole","8/12/2020","9:15","Hypo",3,3,"0.535",NA,"","CB_DeepHole_20200812_0915_Hypo_3_Limno.Sample.20160505"
"C145",17,"NG","DeepHole","8/14/2020","10:00","PML",0,0,"0.849",NA,"","NG_DeepHole_20200814_1000_PML_0_Limno.Sample.20160505"
"C146",17,"NG","DeepHole","8/14/2020","10:00","Hypo",3.5,3.5,"1.16",NA,"","NG_DeepHole_20200814_1000_Hypo_3.5_Limno.Sample.20160505"
"C147",17,"WA","DeepHole","8/14/2020","11:15","PML",0,0.5,"0.146",NA,"","WA_DeepHole_20200814_1115_PML_0.5_Limno.Sample.20160505"
"C148",17,"WA","DeepHole","8/14/2020","11:15","Hypo",4,4,"0.274",NA,"","WA_DeepHole_20200814_1115_Hypo_4_Limno.Sample.20160505"
"C149",15,"CR","DeepHole","8/17/2020","9:30","PML",0,3,"0.054",NA,"","CR_DeepHole_20200817_0930_PML_3_Limno.Sample.20160505"
"C150",15,"CR","DeepHole","8/17/2020","9:30","Hypo",8,8,"0.1",NA,"","CR_DeepHole_20200817_0930_Hypo_8_Limno.Sample.20160505"
"C151",15,"CR","Outlet","8/17/2020","9:30","Surface",0,0,"0.061",NA,"","CR_PML_20200817_0930_Surface_0_Limno.Sample.20160505"
"C152",15,"HB","DeepHole","8/18/2020","9:50","PML",0,0.5,"0.881",NA,"","HB_DeepHole_20200818_0950_PML_0.5_Limno.Sample.20160505"
"C153",15,"HB","DeepHole","8/18/2020","9:50","Hypo",4,4,"0.867",NA,"","HB_DeepHole_20200818_0950_Hypo_4_Limno.Sample.20160505"
"C154",15,"HB","Outlet","8/18/2020","9:50","Surface",0,0,"0.879",NA,"","HB_PML_20200818_0950_Surface_0_Limno.Sample.20160505"
"C155",15,"MO","DeepHole","8/19/2020","10:15","PML",0,1.5,"0.419",NA,"","MO_DeepHole_20200819_1015_PML_1.5_Limno.Sample.20160505"
"C156",15,"MO","DeepHole","8/19/2020","10:15","Hypo",4.5,4.5,"0.735",NA,"","MO_DeepHole_20200819_1015_Hypo_4.5_Limno.Sample.20160505"
"C157",15,"MO","Inlet1","8/19/2020","10:15","Surface",0,0,"0.163",NA,"","MO_PML_20200819_1015_Surface_0_Limno.Sample.20160505"
"C158",15,"MO","Inlet2","8/19/2020","10:15","Surface",0,0,"0.945",NA,"","MO_PML_20200819_1015_Surface_0_Limno.Sample.20160505"
"C159",3,"FE","DeepHole","8/20/2020","11:32","PML",0,1.5,"0.485",NA,"","FE_DeepHole_20200820_1132_PML_1.5_Limno.Sample.20160505"
"C160",3,"FE","DeepHole","8/20/2020","11:32","Hypo",8,8,"0.707",NA,"","FE_DeepHole_20200820_1132_Hypo_8_Limno.Sample.20160505"
"C161",3,"FE","Inlet1","8/20/2020","11:32","Surface",0,0,"2.72",NA,"","FE_PML_20200820_1132_Surface_0_Limno.Sample.20160505"
"C162",17,"ME","DeepHole","8/20/2020","10:54","PML",0,2,"0.192",NA,"","ME_DeepHole_20200820_1054_PML_2_Limno.Sample.20160505"
"C163",17,"ME","DeepHole","8/20/2020","10:54","Hypo",3.5,3.5,"0.393",NA,"","ME_DeepHole_20200820_1054_Hypo_3.5_Limno.Sample.20160505"
"C164",17,"ME","Outlet","8/20/2020","10:54","Surface",0,0,"0.2",NA,"","ME_PML_20200820_1054_Surface_0_Limno.Sample.20160505"
"C165",3,"WL","DeepHole","8/20/2020","9:10","PML",0,2,"0.146",NA,"","WL_DeepHole_20200820_0910_PML_2_Limno.Sample.20160505"
"C166",3,"WL","DeepHole","8/20/2020","9:10","Hypo",8,8,"0.278",NA,"","WL_DeepHole_20200820_0910_Hypo_8_Limno.Sample.20160505"
"C167",41,"JO","DeepHole","2020-09-01","08:55","PML",0,3,"","","","JO_DeepHole_20200901_0855_PML_3_Limno.Sample.20160505"
"C168",41,"JO","DeepHole","2020-09-01","08:55","Hypo",4.5,4.5,"","","","JO_DeepHole_20200901_0855_Hypo_4.5_Limno.Sample.20160505"
