docID,projectID,lakeID,site,dateSample,timeSample,depthClass,depthTop,depthBottom,replicate,comments,sampleID
D111,15,HB,DeepHole,6/24/2020,10:53,PML,0,0.5,1,,HB_DeepHole_20200624_1053_PML_0.5_Limno.Sample.20160505
D112,15,HB,DeepHole,6/24/2020,10:53,PML,0,0.5,2,,HB_DeepHole_20200624_1053_PML_0.5_Limno.Sample.20160505
D113,15,HB,DeepHole,6/24/2020,10:53,Hypo,4,4,1,,HB_DeepHole_20200624_1053_Hypo_4_Limno.Sample.20160505
D114,15,HB,DeepHole,6/24/2020,10:53,Hypo,4,4,2,,HB_DeepHole_20200624_1053_Hypo_4_Limno.Sample.20160505
D115,15,HB,Outlet,6/24/2020,10:53,Surface,0,0,1,,HB_PML_20200624_1053_Surface_0_Limno.Sample.20160505
D116,15,HB,Outlet,6/24/2020,10:53,Surface,0,0,2,,HB_PML_20200624_1053_Surface_0_Limno.Sample.20160505
D117,17,ME,DeepHole,6/24/2020,8:52,PML,0,1.5,1,,ME_DeepHole_20200624_0852_PML_1.5_Limno.Sample.20160505
D118,17,ME,DeepHole,6/24/2020,8:52,PML,0,1.5,2,,ME_DeepHole_20200624_0852_PML_1.5_Limno.Sample.20160505
D119,17,ME,DeepHole,6/24/2020,8:52,Hypo,3,3,1,,ME_DeepHole_20200624_0852_Hypo_3_Limno.Sample.20160505
D120,17,ME,DeepHole,6/24/2020,8:52,Hypo,3,3,2,,ME_DeepHole_20200624_0852_Hypo_3_Limno.Sample.20160505
D121,17,ME,Outlet,6/24/2020,8:52,Surface,0,0,1,,ME_PML_20200624_0852_Surface_0_Limno.Sample.20160505
D122,17,ME,Outlet,6/24/2020,8:52,Surface,0,0,2,,ME_PML_20200624_0852_Surface_0_Limno.Sample.20160505
D123,15,CR,DeepHole,6/25/2020,10:06,PML,0,2.5,1,,CR_DeepHole_20200625_1006_PML_2.5_Limno.Sample.20160505
D124,15,CR,DeepHole,6/25/2020,10:06,PML,0,2.5,2,,CR_DeepHole_20200625_1006_PML_2.5_Limno.Sample.20160505
D125,15,CR,DeepHole,6/25/2020,10:06,Hypo,11,11,1,,CR_DeepHole_20200625_1006_Hypo_11_Limno.Sample.20160505
D126,15,CR,DeepHole,6/25/2020,10:06,Hypo,11,11,2,,CR_DeepHole_20200625_1006_Hypo_11_Limno.Sample.20160505
D127,15,CR,Outlet,6/25/2020,10:06,Surface,0,0,1,,CR_PML_20200625_1006_Surface_0_Limno.Sample.20160505
D128,15,CR,Outlet,6/25/2020,10:06,Surface,0,0,2,,CR_PML_20200625_1006_Surface_0_Limno.Sample.20160505
D129,17,TU,DeepHole,6/25/2020,12:31,PML,0,1.5,1,,TU_DeepHole_20200625_1231_PML_1.5_Limno.Sample.20160505
D130,17,TU,DeepHole,6/25/2020,12:31,PML,0,1.5,2,,TU_DeepHole_20200625_1231_PML_1.5_Limno.Sample.20160505
D131,17,TU,DeepHole,6/25/2020,12:31,Hypo,7,7,1,,TU_DeepHole_20200625_1231_Hypo_7_Limno.Sample.20160505
D132,17,TU,DeepHole,6/25/2020,12:31,Hypo,7,7,2,,TU_DeepHole_20200625_1231_Hypo_7_Limno.Sample.20160505
D133,17,WA,DeepHole,6/29/2020,8:54,PML,0,1,1,,WA_DeepHole_20200629_0854_PML_1_Limno.Sample.20160505
D134,17,WA,DeepHole,6/29/2020,8:54,PML,0,1,2,,WA_DeepHole_20200629_0854_PML_1_Limno.Sample.20160505
D135,17,WA,DeepHole,6/29/2020,8:54,Hypo,3.5,3.5,1,,WA_DeepHole_20200629_0854_Hypo_3.5_Limno.Sample.20160505
D136,17,WA,DeepHole,6/29/2020,8:54,Hypo,3.5,3.5,2,,WA_DeepHole_20200629_0854_Hypo_3.5_Limno.Sample.20160505
D137,3,FE,DeepHole,6/30/2020,11:30,PML,0,1,1,,FE_DeepHole_20200630_1130_PML_1_Limno.Sample.20160505
D138,3,FE,DeepHole,6/30/2020,11:30,PML,0,1,2,,FE_DeepHole_20200630_1130_PML_1_Limno.Sample.20160505
D139,3,FE,DeepHole,6/30/2020,11:30,Hypo,8,8,1,,FE_DeepHole_20200630_1130_Hypo_8_Limno.Sample.20160505
D140,3,FE,DeepHole,6/30/2020,11:30,Hypo,8,8,2,,FE_DeepHole_20200630_1130_Hypo_8_Limno.Sample.20160505
D141,3,WL,DeepHole,6/30/2020,9:58,PML,0,1,1,,WL_DeepHole_20200630_0958_PML_1_Limno.Sample.20160505
D142,3,WL,DeepHole,6/30/2020,9:58,PML,0,1,2,,WL_DeepHole_20200630_0958_PML_1_Limno.Sample.20160505
D143,3,WL,DeepHole,6/30/2020,9:58,Hypo,8,8,1,,WL_DeepHole_20200630_0958_Hypo_8_Limno.Sample.20160505
D144,3,WL,DeepHole,6/30/2020,9:58,Hypo,8,8,2,,WL_DeepHole_20200630_0958_Hypo_8_Limno.Sample.20160505
D145,17,BO,DeepHole,7/1/2020,10:41,PML,0,0.25,1,,BO_DeepHole_20200701_1041_PML_0.25_Limno.Sample.20160505
