unfilteredID,projectID,lakeID,site,dateSample,timeSample,depthClass,depthTop,depthBottom,comments,sampleID
U145,3,FE,DeepHole,8/11/2020,10:45,Hypo,8,8,,FE_DeepHole_20200811_1045_Hypo_8_Limno.Sample.20160505
U146,3,FE,Inlet1,8/11/2020,10:45,Surface,0,0,,FE_Inlet1_20200811_1045_Surface_0_Limno.Sample.20160505
U147,3,WL,DeepHole,8/11/2020,9:48,PML,0,1.5,,WL_DeepHole_20200811_0948_PML_1.5_Limno.Sample.20160505
U148,3,WL,DeepHole,8/11/2020,9:48,Hypo,8,8,,WL_DeepHole_20200811_0948_Hypo_8_Limno.Sample.20160505
U149,17,BO,DeepHole,8/12/2020,10:55,PML,0,0,,BO_DeepHole_20200812_1055_PML_0_Limno.Sample.20160505
U150,17,BO,DeepHole,8/12/2020,10:55,Hypo,2,2,,BO_DeepHole_20200812_1055_Hypo_2_Limno.Sample.20160505
U151,17,CB,DeepHole,8/12/2020,9:15,PML,0,0.5,,CB_DeepHole_20200812_0915_PML_0.5_Limno.Sample.20160505
U152,17,CB,DeepHole,8/12/2020,9:15,Hypo,3,3,,CB_DeepHole_20200812_0915_Hypo_3_Limno.Sample.20160505
U153,17,NG,DeepHole,8/14/2020,10:00,PML,0,0,,NG_DeepHole_20200814_1000_PML_0_Limno.Sample.20160505
U154,17,NG,DeepHole,8/14/2020,10:00,Hypo,3.5,3.5,,NG_DeepHole_20200814_1000_Hypo_3.5_Limno.Sample.20160505
U155,17,WA,DeepHole,8/14/2020,11:15,PML,0,0.5,,WA_DeepHole_20200814_1115_PML_0.5_Limno.Sample.20160505
U156,17,WA,DeepHole,8/14/2020,11:15,Hypo,4,4,,WA_DeepHole_20200814_1115_Hypo_4_Limno.Sample.20160505
U157,15,CR,DeepHole,8/17/2020,9:30,PML,0,3,,CR_DeepHole_20200817_0930_PML_3_Limno.Sample.20160505
U158,15,CR,DeepHole,8/17/2020,9:30,Hypo,8,8,,CR_DeepHole_20200817_0930_Hypo_8_Limno.Sample.20160505
U159,15,CR,Outlet,8/17/2020,9:30,Surface,0,0,,CR_Outlet_20200817_0930_Surface_0_Limno.Sample.20160505
U160,15,HB,DeepHole,8/18/2020,9:50,PML,0,0.5,,HB_DeepHole_20200818_0950_PML_0.5_Limno.Sample.20160505
