"lakeID","lakeName","state","county","city","surfaceArea","maxDepth","lat","long","latLongSource","WBIC","comments","updateID"
"HN","Helen","WI","Vilas","Land O' Lakes",41.2,5.8,46.18048459,-89.4244418,"Lake finder app","2964400","NA","lakesLatLongUpdate.20201005"
"HT","Hunter Lake","WI","Vilas","Conover",70.8,12.2,46.00462558,-89.32207982,"Lake finder app","991700","NA","lakesLatLongUpdate.20201005"
"HU","Hudson","IN","LaPorte","New Carlisle",174.82,12.8,41.715779,-86.549515,"Google maps (approximate center)","NA","NA","lakesLatLongUpdate.20201005"
"ID","Indian Lake","WI","Vilas","Land O'Lakes",32.4,11.9,46.11849246,-89.40716969,"Lake finder app","2764400","NA","lakesLatLongUpdate.20201005"
"IM","Immaculate (Amigo 2016)","MI","Gogebic","Watersmeet",1.4,6.5,46.24835568,-89.29564946,"unknown","NA","NA","lakesLatLongUpdate.20201005"
"IN","Inkpot","MI","Gogebic","UNDERC",6.6,5.18,46.22891789,-89.50622935,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"IP","Imp","MI","Gogebic","Watersmeet",90.4,21,46.21670674,-89.07616524,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"IV","Irving Lake","WI","Vilas","Star Lake",169.6,2.4,46.06168356,-89.47341582,"Lake finder app","2340900","NA","lakesLatLongUpdate.20201005"
"IW","Ike Walton","WI","Vilas","Lac Du Flambeau",573.4,18.6,46.03584142,-89.8061515,"Lake finder app","2321800","NA","lakesLatLongUpdate.20201005"
"JO","Jones Lake","WI","Vilas","Boulder Junction",21.8,29,46.18195,-89.51711,"Lake finder app","2765100","Private lake associated with Rainbo Lodge off County HWY B","lakeIDs.2020.20201209"
"JS","Johnson Lake","WI","Vilas","Minocqua",34.4,12.8,45.89971431,-89.72117986,"Lake finder app","1541100","NA","lakesLatLongUpdate.20201005"
"JT","Jute","WI","Vilas","Land O' Lakes",77.2,7,46.15512309,-89.5082378,"Lake finder app","1857400","NA","lakesLatLongUpdate.20201005"
"JU","Juno","MI","Cass","Edwardsburg",76.89,11.27,41.80916653,-85.99185933,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"KK","Kunsehke","MI","Gogebic","Preque Isle",16.4,6,46.25168782,-89.66842502,"unknown","NA","NA","lakesLatLongUpdate.20201005"
"KP","Kickapoo","MI","Gogebic","UNDERC",7.86,2.74,46.22566117,-89.4974611,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"KT","Kentuck","WI","Vilas","Phelps",405.1,12.192,45.98037317,-89.00730135,"Lake finder app","7168000","NA","lakesLatLongUpdate.20201005"
"LA","Laura","WI","Vilas","Plum Lake",254,13.1064,46.05733111,-89.43795136,"Lake finder app","995200","NA","lakesLatLongUpdate.20201005"
"Lab","JonesLab","IN","St Joseph","Notre Dame",0,0,0,0,"unknown","NA","NA","lakesLatLongUpdate.20201005"
"LB","Lower Buckatabon","WI","Vilas","Conover",153,4.9,46.0261,-89.320707,"Google maps (approximate center)","NA","NA","lakesLatLongUpdate.20201005"
"LC","Little Crooked","WI","Vilas","Boulder Junction",62,9.1,46.15083339,-89.69508083,"Lake finder app","2335500","NA","lakesLatLongUpdate.20201005"
"LCS","Little Crawling Stone Lake","WI","Vilas","Lac du Flambeau",45.7,13.4,45.92834831,-89.89816927,"Lake finder app","2324000","NA","lakesLatLongUpdate.20201005"
"LD","Landing","WI","Vilas","Boulder Junction",NA,NA,46.161932,-89.264007,"Google maps (approximate center)","NA","NA","lakesLatLongUpdate.20201005"
"LE","Lone Tree Lake","WI","Vilas","Star Lake",52.6,4.9,46.04741861,-89.50334227,"Lake finder app","1000400","NA","lakesLatLongUpdate.20201005"
"LH","Lake of the Hills","WI","Vilas","Eagle River",24.6,3,45.98394676,-89.24473605,"Lake finder app","1620500","NA","lakesLatLongUpdate.20201005"
"LI","Little Horsehead","WI","Vilas","Presque Isle",22.7,5.8,46.2443306,-89.72118543,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"LJ","Little John","WI","Vilas","Boulder Junction",61.1,5.8,46.01451076,-89.64494617,"Lake finder app","2332300","NA","lakesLatLongUpdate.20201005"
"LK","Little Rock Lake","WI","Vilas","Arbor Vitae",15.8,3,45.99686569,-89.70325258,"Lake finder app","1862100","NA","lakesLatLongUpdate.20201005"
"LL","Lake Adelaide","WI","Vilas","Winchester",23.1,21,46.247456,-89.899369,"Google maps (approximate center)","1831700","NA","lakesLatLongUpdate.20201005"
"LN","Langford","MI","Gogebic","Stickley",194.6,3.047851265,46.27473755,-89.47942029,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"LO","Long","MI","Gogebic","UNDERC",8.16,14.02,46.24148995,-89.36950681,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"LR","Little Spider","WI","Vilas","Arbor Vitae",90.2,7,45.97106319,-89.70853852,"Lake finder app","1540400","NA","lakesLatLongUpdate.20201005"
"LRC","Little Rice Lake","WI","Vilas","Boulder Junction",20.2,2.1,46.11412937,-89.63500894,"Lake finder app","2338900","NA","lakesLatLongUpdate.20201005"
"LS","Little Saint Germain","WI","Vilas","Saint Germain",393,16.1544,45.91661806,-89.45370334,"Lake finder app","15963000","NA","lakesLatLongUpdate.20201005"
"LT","Lost","WI","Vilas","St. Germain",218.1,NA,45.96554022,-89.48319064,"Lake finder app","1593400","NA","lakesLatLongUpdate.20201005"
"LV","Little Arbor Vitae","WI","Vilas","Arbor Vitae",194,9.7536,45.91193297,-89.62141031,"Lake finder app","1545300","NA","lakesLatLongUpdate.20201005"
"LVD","Lac Vieux Desert","WI","Vilas","Land O' Lakes",1625.6,11.6,46.13894555,-89.11006078,"unknown","1631900","NA","lakesLatLongUpdate.20201005"
"LW","Lake of the Woods","IN","Marshall","Bremen",168.34,14.63,41.42402653,-86.22858766,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"LX","Lynx","WI","Vilas","Presque Isle",124,14.6304,46.19941942,-89.67210419,"Lake finder app","2954500","NA","lakesLatLongUpdate.20201005"
"MA","Magician","MI","Cass","Sister Lakes",201.53,15.24,42.06755166,-86.16628153,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"MC","McCullough","WI","Vilas","Presque Isle",89.43,8.2,46.1983846,-89.57028152,"Lake finder app","2960400","NA","lakesLatLongUpdate.20201005"
"ME","Middle East Long","MI","Gogebic","UNDERC",NA,NA,46.236027,-89.497067,"Google maps (approximate center)","NA","NA","lakesLatLongUpdate.20201005"
"MI","Misty","MI","Gogebic","UNDERC",0,0,46.25264584,-89.48140327,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"MK","Muskellunge","WI","Oneida","Newbold",116,7.3152,45.7998591,-89.4795419,"unknown","1595600","NA","lakesLatLongUpdate.20201005"
"MO","Morris","MI","Gogebic","UNDERC",5.92,6.7,46.25708691,-89.52119972,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"MR","Moraine","MI","Gogebic","Preque Isle",90.4,6.5,46.2774252,-89.78333321,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"MS","Muskellunge Lake","WI","Vilas","Eagle River",109.3,5.8,45.95180496,-89.38001504,"Lake finder app","1596600","NA","lakesLatLongUpdate.20201005"
"MT","Morton","WI","Vilas","Natural Lakes Area",66.8,8.8,46.18927401,-89.57994153,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"MU","Mullahy","MI","Gogebic","UNDERC",NA,NA,46.256837,-89.517444,"Google maps (approximate center)","NA","NA","lakesLatLongUpdate.20201005"
"NC","North Chain","IN","St Joseph","South Bend",35.61,11.27,41.69841217,-86.37085677,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"NG","North Gate","MI","Gogebic","UNDERC",0.28,7.92,46.258726,-89.497353,"Google maps (approximate center)","NA","NA","lakesLatLongUpdate.20201005"
"NH","Nichols Lake","WI","Vilas","Boulder Junction",15,4.9,46.10371858,-89.68791716,"Lake finder app","1870400","NA","lakesLatLongUpdate.20201005"
"NN","North North Crab","WI","NA","NA",NA,NA,NA,NA,"unknown","NA","NA","lakesLatLongUpdate.20201005"
"NR","North Crab","WI","Vilas","Presque Isle",23.9,10.7,46.20639059,-89.72341167,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"OB","Oxbow","WI","Vilas","Presque Isle",212,13.4112,46.24097568,-89.68304034,"Lake finder app","2954800","NA","lakesLatLongUpdate.20201005"
"OX","Little Oxbow","MI","Gogebic","Marenisco Township",6.9,NA,46.22169323,-90.04341874,"unknown","NA","NA","lakesLatLongUpdate.20201005"
"PA","Paul","MI","Gogebic","UNDERC",1.66,11.99,46.25261288,-89.50357427,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"PE","Peter","MI","Gogebic","UNDERC",2.52,18,46.252881,-89.503592,"Google maps (approximate center)","NA","NA","lakesLatLongUpdate.20201005"
"PI","Presque Isle","WI","Vilas","Presque Isle",471,31.3944,46.2225765,-89.77984204,"Lake finder app","2956500","NA","lakesLatLongUpdate.20201005"
"PK","Pickerel Lake","WI","Vilas","Eagle River",109.3,7.9,45.97463567,-89.39456768,"Lake finder app","1619700","NA","lakesLatLongUpdate.20201005"
"PL","Pleasant","IN","St Joseph","Lakeville",11.73,11.88,41.51625161,-86.27654466,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"PLM","Plum","WI","Vilas","Sayner",428,17.3736,46.00340663,-89.51923905,"Lake finder app","1592400","NA","lakesLatLongUpdate.20201005"
"PM","Plum","MI","Gogebic","UNDERC",91.41,7.31,46.22144047,-89.50478292,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"PN","Pioneer Lake","WI","Vilas","Conover",173.6,8.2,46.01695087,-89.20609014,"Lake finder app","1623400","NA","lakesLatLongUpdate.20201005"
"PR","Palmer","WI","Vilas","Land O' Lakes",261,3.9624,46.19969563,-89.49998254,"Lake finder app","2962900","NA","lakesLatLongUpdate.20201005"
"PS","Papoose","WI","Vilas","Manitowish Waters",171,19.812,46.18470052,-89.80249173,"Lake finder app","2328700","NA","lakesLatLongUpdate.20201005"
"PT","Partridge Lake","WI","Vilas","Star Lake",95.1,5.8,46.08015626,-89.50561753,"Lake finder app","2341500","NA","lakesLatLongUpdate.20201005"
"RB","Raspberry","MI","Gogebic","UNDERC",4.62,6.09,46.24993543,-89.50646234,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"RD","Rade Lake","WI","Vilas","Eagle River",15.8,4.6,45.9741088,-89.20336505,"Lake finder app","1013600","NA","lakesLatLongUpdate.20201005"
"RE","Reddington","MI","Gogebic","UNDERC",1.23,16,46.260553,-89.5162,"Google maps (approximate center)","NA","NA","lakesLatLongUpdate.20201005"
"RH","Roach","MI","Gogebic","UNDERC",45.06,10,46.22803264,-89.54947811,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"RK","Rock","WI","Vilas","Manitowish Waters",48.6,5.5,46.25871293,-89.87173686,"Google maps (approximate center)","2311700","NA","lakesLatLongUpdate.20201005"
"RN","Rainbow Lake","WI","Vilas","Winchester",59.9,11,46.2431689,-89.84658402,"Lake finder app","2310800","NA","lakesLatLongUpdate.20201005"
"RO","Round","MI","Van Buren","Sister Lakes",78.5,8.22,42.08064146,-86.21065352,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
